paper_id,section_code,svg_filename,latex
fluid-dynamics,03,flu-03-001.svg,"\[
N_c\;\ge\;dN-\tfrac{d(d+1)}{2}
\qquad\Longleftrightarrow\qquad
z\;\ge\;2d-\mathcal O(1/N).
\]"
fluid-dynamics,03,flu-03-002.svg,"\[
\Delta z\;\equiv\;z-2d\;\ge\;0 .
\]"
fluid-dynamics,03,flu-03-003.svg,"\[
G_{\rm relaxed}\;=\;G_{\rm Born}\;-\;\frac{\Xi^{\mathsf T}H^{+}\Xi}{V},
\]"
fluid-dynamics,03,flu-03-004.svg,"\[
G_{\rm relaxed}\;\propto\;\Delta z\;\longrightarrow\;0,
\qquad
B\;\to\;\text{finite}\qquad(\Delta z\to 0).
\]"
fluid-dynamics,03,flu-03-005.svg,"\[
c_s^2=\frac{B}{\rho},
\]"
fluid-dynamics,04,flu-04-001.svg,"\begin{equation}
U_2(S_i,S_j)=A(r)+B(r)\,(L_i\!\cdot\!L_j)+C(r)\,(L_i\!\cdot\!\hat{\mathbf r})(L_j\!\cdot\!\hat{\mathbf r}),
\qquad \{A,B,C\}=\text{(derivatives of }F),
\label{eq:U2}
\end{equation}"
fluid-dynamics,04,flu-04-002.svg,"\begin{equation}
U_3=\sum_{i<j<k}D(P_{ijk})\,S_{ijk},\qquad
S_{ijk}=\sum_{\rm cyc}L_i\!\cdot\!(\mathbf r_{ij}\times\mathbf r_{ik}),\qquad
D(P)=d_0\,e^{-P/\ell},
\label{eq:U3}
\end{equation}"
fluid-dynamics,04,flu-04-003.svg,"\begin{equation}
\mathbf r_{ij}\times\mathbf r_{ik}=2A_\triangle\,\hat{\mathbf z}
\;\Rightarrow\;
S_{ijk}^{\rm 2D}=2A_\triangle\,(L_i+L_j+L_k),
\label{eq:U3_2D}
\end{equation}"
fluid-dynamics,04,flu-04-004.svg,"\begin{equation}
\boxed{\;\eps_{\rm bind}=\Theta\,\sigma,\qquad \sigma\ge0,\qquad
\frac{dH}{dt}\Big|_{\mathcal J}=-\eps_{\rm bind}\le0,\quad \frac{dS}{dt}\ge0,\;}
\label{eq:event_diss}
\end{equation}"
fluid-dynamics,05,flu-05-001.svg,"\begin{equation}
\delta_{ST}=\big(\text{departure of }\Pi_{ST}\text{ from the line of slope }-a/b\big),
\label{eq:pi_line}
\end{equation}"
fluid-dynamics,05,flu-05-002.svg,"\begin{equation}
\Pi_L=\frac{L^{\,1+\alpha}\,\eps_{\rm bind}}{\sigma_{\rm eff}}
\qquad\Longrightarrow\qquad
\frac{d\log\Pi_L}{d\log\lambda}=(1+\alpha)-\psi-\chi
\label{eq:event_rg}
\end{equation}"
fluid-dynamics,05,flu-05-003.svg,"\begin{equation}
\boxed{\;(1+\alpha_\star)-\psi-\chi=0\;\Longleftrightarrow\;\Pi_L\ \text{plateau}\;}
\label{eq:fixed_point}
\end{equation}"
fluid-dynamics,06,flu-06-001.svg,"\[
\partial_t^2\,\delta\rho=c_s^2\,\nabla^2\delta\rho,
\qquad
c_s^2=\frac{dp}{d\rho}=\frac{B}{\rho},
\]"
fluid-dynamics,06,flu-06-002.svg,"\begin{equation}
\rho(\xv,t)=\sum_i m_i\,W_\ell(\xv-\xv_i),\qquad
\rho\uv(\xv,t)=\sum_i m_i\vv_i\,W_\ell(\xv-\xv_i).
\label{eq:cg_fields}
\end{equation}"
fluid-dynamics,06,flu-06-003.svg,"\begin{equation}
\partial_t\rho=\sum_i m_i\,\partial_t W_\ell(\xv-\xv_i)
=-\nabla_\xv\!\cdot\!\sum_i m_i\vv_i\,W_\ell(\xv-\xv_i)
=-\div(\rho\uv),
\end{equation}"
fluid-dynamics,06,flu-06-004.svg,"\begin{equation}
\partial_t(\rho\uv)=\sum_i m_i\dot\vv_i\,W_\ell
\;-\;\nabla_\xv\!\cdot\!\sum_i m_i\,\vv_i\!\otimes\!\vv_i\,W_\ell .
\end{equation}"
fluid-dynamics,06,flu-06-005.svg,"\begin{equation}
\sum_i\Big(\sum_{j\neq i}\mathbf F_{ij}\Big)W_\ell(\xv-\xv_i)
=\nabla_\xv\!\cdot\!\,\sigma^{\rm int},\qquad
\sigma^{\rm int}=-\tfrac12\sum_{i\neq j}\mathbf F_{ij}\!\otimes\!\rv_{ij}\!
\int_0^1\! W_\ell\big(\xv-\xv_j-s\,\rv_{ij}\big)\,ds .
\label{eq:IK_stress}
\end{equation}"
fluid-dynamics,06,flu-06-006.svg,"\begin{equation}
\tau=2\mu S+\lambda(\div\uv)\Id,\qquad
S=\tfrac12\big(\nabla\uv+(\nabla\uv)^\top\big)-\tfrac13(\div\uv)\Id,
\label{eq:newtonian}
\end{equation}"
fluid-dynamics,06,flu-06-007.svg,"\begin{equation}
\partial_t\uv+\uv\!\cdot\!\nabla\uv=-\tfrac{1}{\rho_0}\nabla p+\nu\nabla^2\uv+\mathbf f,
\qquad\nu=\mu/\rho_0.
\label{eq:incompNS}
\end{equation}"
fluid-dynamics,06,flu-06-008.svg,"\begin{equation}
\frac{dE}{dt}=-\eps_\nu=-2\nu Z,\qquad
E=\tfrac12\langle|\uv|^2\rangle,\quad Z=\tfrac12\langle\omega^2\rangle,
\label{eq:budget}
\end{equation}"
fluid-dynamics,06,flu-06-009.svg,"\begin{align}
\partial_t\rho+\div(\rho\uv)&=0,\label{eq:cont}\\
\partial_t(\rho\uv)+\div(\rho\uv\otimes\uv)&=\div\,\sigma+\rho\mathbf f,
\qquad \sigma=-p\,\Id+\tau.\label{eq:mom}
\end{align}"
fluid-dynamics,07,flu-07-001.svg,"\begin{equation}
r_{\rm eff}^2=\frac{1}{N_\star}\frac{1}{\pi}\sum_{k=1}^{N_\star}A_k,\qquad
\phi=\frac{\sum_k A_k}{A_{\rm core}},\qquad
s=\frac{A_{\rm core}}{\pi L_{\rm core}^2}.
\label{eq:rcci_defs}
\end{equation}"
fluid-dynamics,07,flu-07-002.svg,"\begin{equation}
\boxed{\,N_\star\,r_{\rm eff}^2=\phi\,s\,L_{\rm core}^2\,}
\label{eq:rcci}
\end{equation}"
fluid-dynamics,07,flu-07-003.svg,"\begin{equation}
r_{\rm pred}=L_{\rm core}\sqrt{\frac{\phi s}{N_\star}}.
\label{eq:rpred}
\end{equation}"
