paper_id,integrated_version,content_sha256,zenodo_concept_doi,lastmod,ingest_adapter,notes
physics,v0.10.0,8cce9f2893017024c4328fd38685f094c221579ecb1dea06470d861f46897c2b,10.5281/zenodo.17932566,2026-06-20,patternA,patternA(inner=physics);rewrote=48;og_injected=48
fluid-dynamics,,a5dd965a12b061666b1e5940cb91c6d095331cda1295cb28d06f66e29a746043,10.5281/zenodo.17972568,2026-06-20,patternA,patternA(inner=fluid-dynamics);synthesized assets/css/site.css;rewrote=39;og_injected=39;offloaded=1
cosmology,,45c61a583a7dcf13b0fd2af5f05018a6a9d9f2bb263e059a649947354e51f977,10.5281/zenodo.20568874,2026-06-20,patternA,patternA(inner=cosmology);rewrote=29;og_injected=29
geodynamics,,2a882a619b594f363b214edf7d4bbd35eacb7246b1a6e5c046c6727aeaabfd73,10.5281/zenodo.17978934,2026-06-20,patternA,patternA(inner=geodynamics);synthesized assets/css/site.css;rewrote=34;og_injected=34
geochronology,,a8b03fd9ddde5a26e3e94a4214ba132c54f1fd18319c17a8d0c78be6d2b0696d,10.5281/zenodo.20568673,2026-06-20,patternA,patternA(inner=geochronology);synthesized assets/css/site.css;rewrote=15;og_injected=15
chemistry,,bdc0a381cfbea8094a6d91d0df1ab13327b374fb01f7a8f87e8ffd7a3207f781,10.5281/zenodo.20680540,2026-06-20,patternA,patternA(inner=chemistry);synthesized assets/css/site.css;rewrote=9;og_injected=9
dna,1.12,2786d6e088cfca94bf2fe6f98b7803b099e2aa63ab65a2d32a4acbf0e9ccf4a1,10.5281/zenodo.20471407,2026-06-20,patternA,patternA(inner=dna);rewrote=18;og_injected=18
neuro,1.11.0,1ee8d164fd5044d5d0c782ec584e4f19b3a227fb2597110cd64a3c36b780b4d7,10.5281/zenodo.17979015,2026-06-20,patternA,patternA(inner=neuro);furniture_removed=1;rewrote=27;og_injected=27
mind,,4647a385a81b7b82f6c59ccc7e0443d73a650beabe7ef8c840af2a0d7186bb12,10.5281/zenodo.20694404,2026-06-20,patternA,patternA(inner=mind);rewrote=46;og_injected=45
cardioresp,,59db85f3a8f80f433d6f9e5e942ee2b8501660b7494f83fc052b53e5d47d77f8,10.5281/zenodo.20755371,2026-06-18,patternA,patternA(inner=cardioresp_vp_site);rewrote=14;offloaded=2
circulatory,0.7.0,50e9cb012a24e8890238546455aca97b65d54d307d90bff460fbbe69a7b24425,10.5281/zenodo.20754354,2026-06-20,patternA,patternA(inner=circulatory_vp_site);rewrote=26;dir_canon=1;og_injected=25
digestive,0.16.0,98e1b06dd24668b28819eefae8e2b9ac01933cdb12b68a37e69d6a3b13fe1c5e,10.5281/zenodo.20755319,2026-06-20,patternB,patternB;rewrote=35;og_injected=34
musculoskeletal,,265e44dc78fcd3b6dc2f4440e300ae14482946951190c89ee934e6994eb4f3d8,10.5281/zenodo.20755760,2026-06-20,patternA,patternA(inner=musculoskeletal_vp_site);rewrote=30;og_injected=29
immune_hematologic,0.20.0-research,533c241f03cab7675f98f19892915b835da7d88ae4607a45a4cae569d51fc010,10.5281/zenodo.20755280,2026-06-20,patternB,patternB;rewrote=22;og_injected=22
integumentary,1.0.0,028fc58a392de442a1b5cac5fddf0082f6b38e6cdd7d5b5274df277e1147bb24,10.5281/zenodo.20754541,2026-06-19,patternB,patternB;rewrote=0;offloaded=2
reproductive_endocrine,,203646559d166016df9db1d4423abc10aae6801c5ea32a7d24c451ae9e374c68,10.5281/zenodo.20754657,2026-06-20,patternB,patternB;rewrote=16;og_injected=15;offloaded=2
homeostasis_thermometabolic,0.6.0,ea186cf71275836e29000c20b0ca46cb86547eff202ccda2ebaa7c5ccacd97d6,10.5281/zenodo.20756934,2026-06-20,patternA,patternA(inner=thermometabolic);rewrote=34;og_injected=33
homeostasis_hemodynamic,,cefd2508883897f03e79b8f9a7ff553ae98b7da6227123702bbb560557f1ce6e,10.5281/zenodo.20756801,2026-06-20,patternB,patternB;rewrote=22;og_injected=21
homeostasis_ionic,,36a6c7a1bb157d718ba7ff0e9fc252c3e07b456c20ff174f86187e22b750653c,10.5281/zenodo.20755910,2026-06-20,patternB,patternB;rewrote=17;og_injected=17
circadian,,c188c128a0f31da36f925dde752bc774f2002c744ca151d162c95d3ea8d030cc,10.5281/zenodo.20755413,2026-06-19,patternA,patternA(inner=circadian);rewrote=10
aging_senescence,,c8de908c28dbcf9e5c90f9771ed2fc99f59968bb215022b3cbaf475abb731ef1,10.5281/zenodo.20756155,2026-06-20,patternB,patternB;rewrote=16;og_injected=15;offloaded=3
sensory_organ,,3a98eeab5c21f4d4cfb09c052752dce6ca927e2ea8f8fd911dabd68d842cb8aa,10.5281/zenodo.20755154,2026-06-20,patternA,patternA(inner=sensory-organs);rewrote=15;og_injected=13;offloaded=2
analgesic_threshold,2.0,f982a7794b5fb05ebcd328a62b63f696bcda10b8279a460cf6ecf554183871a6,10.5281/zenodo.20733420,2026-06-20,patternA,patternA(inner=analgesic);rewrote=42;og_injected=41;offloaded=2
disease_wp,,d96ea82a902b5401f73445d57a1582fc0de631680900341738c6d4e0df980a25,10.5281/zenodo.20763842,2026-06-18,patternA,patternA(inner=disease);rewrote=40;og_injected=39;offloaded=4
disease_kit,,8876a1b9fb6568be63f59a4f74045bee969e596ccdfc2237b67a7b5fb2861ca4,10.5281/zenodo.20755262,2026-06-20,minimal,minimal:site/index.html only;rewrote=1;og_injected=1
