pyramid,dynasty,height_m,core_quality,record_date_bce_mid
Djoser_StepPyramid,3,62.5,dressed_stone_stepped,2650
Meidum,4,65.0,dressed_stone,2600
Bent_Dahshur,4,104.7,dressed_stone,2590
Red_Dahshur,4,105.0,dressed_stone,2580
Khufu_Giza,4,146.6,dressed_stone_fine,2560
Khafre_Giza,4,143.5,dressed_stone_fine,2540
Menkaure_Giza,4,65.0,dressed_stone_granite_casing,2510
Userkaf_Saqqara,5,49.0,rubble_core,2490
Sahure_Abusir,5,47.0,rubble_core,2480
Neferirkare_Abusir,5,72.0,rubble_core,2460
Nyuserre_Abusir,5,51.5,rubble_core,2440
Unas_Saqqara,5,43.0,rubble_core,2350
Teti_Saqqara,6,52.5,rubble_core,2320
PepiI_Saqqara,6,52.5,rubble_core,2280
PepiII_Saqqara,6,52.5,rubble_core,2210
Amenemhat_III_Hawara,12,58.0,mudbrick_core,1850
