residual_rank,raw_rank,rank_shift_vs_raw,rankable,entity,cui,tier,system_class,raw_burden,raw_burden_grade_present,evidence_status,efficacy_offset_e,R_treat,R_treat_grade,burden_score,burden_score_grade
1,1,0,yes,Achondrogenesis type II,C0220685,extension,skeletal,0.9167,[H],none,0.0000,1.0000,[H],0.9167,[H]
2,5,3,yes,"Niemann-Pick disease, type A",C0268242,flagship,lysosomal,0.7000,[H],none,0.0000,1.0000,[H],0.7000,[H]
3,4,1,yes,alpha Thalassemia,C0002312,extension,hematologic,0.7333,[H],symptomatic,0.1000,0.9000,[H],0.6600,[H]
4,15,11,yes,Becker muscular dystrophy,C0917713,extension,musculoskeletal,0.5600,[H],symptomatic,0.1000,0.9000,[H],0.5040,[H]
5,10,5,yes,Osteogenesis imperfecta,C0029434,flagship,skeletal,0.6400,[H],disease-modifying (partial),0.3000,0.7000,[H],0.4480,[H]
6,12,6,yes,Duchenne muscular dystrophy,C0013264,flagship,musculoskeletal,0.6300,[H],disease-modifying (partial),0.3000,0.7000,[H],0.4410,[H]
7,14,7,yes,Fabry disease,C0002986,flagship,lysosomal,0.5625,[H],disease-modifying (partial),0.3000,0.7000,[H],0.3937,[H]
8,2,-6,yes,Tyrosinemia type I,C0268490,flagship,hepatic/metabolic,0.8167,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.3675,[H]
9,16,7,yes,Polycystic kidney disease 2,C2751306,flagship,renal,0.5167,[H],disease-modifying (partial),0.3000,0.7000,[H],0.3617,[H]
10,3,-7,yes,Classic homocystinuria,C0751202,extension,metabolic,0.7375,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.3319,[H]
11,6,-5,yes,Cystic fibrosis,C0010674,flagship,respiratory/exocrine,0.6833,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.3075,[H]
12,7,-5,yes,Gaucher disease type I,C1961835,extension,lysosomal,0.6750,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.3038,[H]
13,8,-5,yes,Hurler syndrome,C0086795,extension,lysosomal,0.6600,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.2970,[H]
14,9,-5,yes,"Glycogen storage disease, type II",C0017921,flagship,metabolic/muscular,0.6500,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.2925,[H]
15,11,-4,yes,Gaucher disease,C0017205,flagship,lysosomal,0.6375,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.2869,[H]
16,13,-3,yes,Tyrosinemia type II,C0268487,extension,metabolic,0.6167,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.2775,[H]
17,17,0,yes,Marfan syndrome,C0024796,flagship,connective_tissue,0.5125,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.2306,[H]
,,,no,21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia,C2936858,extension,endocrine,0.4250,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.1913,[H]
,,,no,Achondroplasia,C0001080,extension,skeletal,0.7000,[H],disease-modifying (partial),0.3000,0.7000,[H],0.4900,[H]
,,,no,Acute intermittent porphyria,C0162565,extension,metabolic,0.4250,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.1913,[H]
,,,no,Alpha-1-antitrypsin deficiency,C0221757,flagship,hepatic/respiratory,0.3750,[H],disease-modifying (partial),0.3000,0.7000,[H],0.2625,[H]
,,,no,Beta-thalassemia HBB/LCRB,CN322236,flagship,hematologic,0.6000,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.2700,[H]
,,,no,Hb SS disease,C0002895,extension,hematologic,0.7000,[H],disease-modifying (partial),0.3000,0.7000,[H],0.4900,[H]
,,,no,Hemochromatosis type 1,C3469186,flagship,hepatic/metabolic,0.6250,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.2812,[H]
,,,no,Hereditary factor IX deficiency disease,C0008533,extension,hematologic,0.6000,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.2700,[H]
,,,no,Maple syrup urine disease,C0024776,flagship,metabolic,0.7500,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.3375,[H]
,,,no,Phenylketonuria,C0031485,flagship,metabolic,0.8750,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.3937,[H]
,,,no,Wilson disease,C0019202,flagship,hepatic/metabolic,0.7500,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.3375,[H]
,,,no,Alkaptonuria,C0002066,extension,metabolic,0.8500,[L],disease-modifying (partial),0.3000,0.7000,[H],0.5950,[H]
,,,no,Cystinosis,C4316899,flagship,renal/lysosomal,0.8500,[L],disease-modifying (substantial),0.5500,0.4500,[H],0.3825,[H]
,,,no,Cystinuria,C0010691,extension,renal,0.7000,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.3150,[H]
,,,no,"Ehlers-Danlos syndrome, classic type, 1",C0268335,extension,connective_tissue,0.2500,[H],symptomatic,0.1000,0.9000,[H],0.2250,[H]
,,,no,"Ehlers-Danlos syndrome, type 4",C0268338,extension,connective_tissue,1.0000,[H],disease-modifying (partial),0.3000,0.7000,[H],0.7000,[H]
,,,no,Hereditary factor VIII deficiency disease,C0019069,flagship,hematologic,0.5000,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.2250,[H]
,,,no,von Willebrand disease type 1,C1264039,extension,hematologic,0.5000,[H],disease-modifying (substantial),0.5500,0.4500,[H],0.2250,[H]
