residual_rank,raw_rank,rank_shift_vs_raw,rankable,entity,cui,tier,system_class,axes_scored,raw_burden,raw_burden_grade_present,evidence_status,efficacy_offset_e,R_treat,R_treat_grade,burden_score,burden_score_grade,treatment_grade,order_locked
1,1,0,yes,Achondrogenesis type II,C0220685,extension,skeletal,3,0.9167,[L],none,0.0000,1.0000,[H],0.9167,[H],[H],yes
2,2,0,yes,"Niemann-Pick disease, type A",C0268242,flagship,lysosomal,4,0.8750,[L],none,0.0000,1.0000,[H],0.8750,[H],[H],yes
3,19,16,yes,Becker muscular dystrophy,C0917713,extension,musculoskeletal,5,0.6300,[H],symptomatic,0.1000,0.9000,[L],0.5670,[H],[L],no
4,20,16,yes,alpha Thalassemia,C0002312,extension,hematologic,4,0.6000,[H],symptomatic,0.1000,0.9000,[L],0.5400,[H],[L],no
5,10,5,yes,Achondroplasia,C0001080,extension,skeletal,3,0.7167,[H],disease-modifying (partial),0.3000,0.7000,[L],0.5017,[H],[L],no
6,12,6,yes,Duchenne muscular dystrophy,C0013264,flagship,musculoskeletal,5,0.6800,[L],disease-modifying (partial),0.3000,0.7000,[L],0.4760,[L],[L],yes
7,15,8,yes,Fabry disease,C0002986,flagship,lysosomal,4,0.6625,[H],disease-modifying (partial),0.3000,0.7000,[L],0.4637,[H],[L],no
8,17,9,yes,Osteogenesis imperfecta,C0029434,flagship,skeletal,5,0.6400,[H],disease-modifying (partial),0.3000,0.7000,[L],0.4480,[H],[L],no
9,3,-6,yes,Tyrosinemia type I,C0268490,flagship,hepatic/metabolic,3,0.8167,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.3675,[H],[L],no
10,4,-6,yes,"Glycogen storage disease, type II",C0017921,flagship,metabolic/muscular,4,0.8125,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.3656,[H],[L],no
11,23,12,yes,Polycystic kidney disease 2,C2751306,flagship,renal,3,0.5167,[H],disease-modifying (partial),0.3000,0.7000,[L],0.3617,[H],[L],no
12,5,-7,yes,Classic homocystinuria,C0751202,extension,metabolic,4,0.8000,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.3600,[H],[L],no
13,6,-7,yes,Hurler syndrome,C0086795,extension,lysosomal,5,0.7500,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.3375,[H],[L],no
14,7,-7,yes,Hereditary factor VIII deficiency disease,C0019069,flagship,hematologic,3,0.7500,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.3375,[H],[L],no
15,8,-7,yes,Maple syrup urine disease,C0024776,flagship,metabolic,3,0.7500,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.3375,[H],[L],no
16,9,-7,yes,Phenylketonuria,C0031485,flagship,metabolic,3,0.7500,[L],disease-modifying (substantial),0.5500,0.4500,[L],0.3375,[L],[L],yes
17,11,-6,yes,Cystic fibrosis,C0010674,flagship,respiratory/exocrine,3,0.6833,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.3075,[H],[L],no
18,13,-5,yes,Gaucher disease type I,C1961835,extension,lysosomal,4,0.6750,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.3038,[H],[L],no
19,14,-5,yes,Tyrosinemia type II,C0268487,extension,metabolic,3,0.6667,[L],disease-modifying (substantial),0.5500,0.4500,[L],0.3000,[L],[L],yes
20,16,-4,yes,Hereditary factor IX deficiency disease,C0008533,extension,hematologic,3,0.6500,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.2925,[H],[L],no
21,18,-3,yes,Gaucher disease,C0017205,flagship,lysosomal,4,0.6375,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.2869,[H],[L],no
22,21,-1,yes,Marfan syndrome,C0024796,flagship,connective_tissue,4,0.5750,[L],disease-modifying (substantial),0.5500,0.4500,[L],0.2587,[L],[L],yes
23,22,-1,yes,Beta-thalassemia HBB/LCRB,CN322236,flagship,hematologic,3,0.5667,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.2550,[H],[L],no
,,,no,21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia,C2936858,extension,endocrine,2,0.7500,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.3375,[H],[L],no
,,,no,Acute intermittent porphyria,C0162565,extension,metabolic,2,0.6500,[L],disease-modifying (substantial),0.5500,0.4500,[L],0.2925,[L],[L],no
,,,no,Alpha-1-antitrypsin deficiency,C0221757,flagship,hepatic/respiratory,2,0.3750,[H],disease-modifying (partial),0.3000,0.7000,[L],0.2625,[H],[L],no
,,,no,Hb SS disease,C0002895,extension,hematologic,2,0.7000,[H],disease-modifying (partial),0.3000,0.7000,[L],0.4900,[H],[L],no
,,,no,Hemochromatosis type 1,C3469186,flagship,hepatic/metabolic,2,0.6250,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.2812,[H],[L],no
,,,no,Wilson disease,C0019202,flagship,hepatic/metabolic,2,0.7500,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.3375,[H],[L],no
,,,no,Alkaptonuria,C0002066,extension,metabolic,1,0.8500,[L],disease-modifying (partial),0.3000,0.7000,[L],0.5950,[L],[L],no
,,,no,Cystinosis,C4316899,flagship,renal/lysosomal,1,0.8500,[L],disease-modifying (substantial),0.5500,0.4500,[L],0.3825,[L],[L],no
,,,no,Cystinuria,C0010691,extension,renal,1,0.7000,[L],disease-modifying (substantial),0.5500,0.4500,[L],0.3150,[L],[L],no
,,,no,"Ehlers-Danlos syndrome, classic type, 1",C0268335,extension,connective_tissue,1,0.2500,[H],symptomatic,0.1000,0.9000,[L],0.2250,[H],[L],no
,,,no,"Ehlers-Danlos syndrome, type 4",C0268338,extension,connective_tissue,1,1.0000,[L],disease-modifying (partial),0.3000,0.7000,[L],0.7000,[L],[L],no
,,,no,von Willebrand disease type 1,C1264039,extension,hematologic,1,0.5000,[H],disease-modifying (substantial),0.5500,0.4500,[L],0.2250,[H],[L],no
