rank,rankable,entity,cui,tier,system_class,O_value,O_grade,P_value,P_grade,S_value,S_grade,M_value,M_grade,D_value,D_grade,axes_scored,raw_burden,raw_burden_grade_floor,raw_burden_grade_present,R_treat,R_treat_grade,burden_score,burden_score_grade,emergence_link
1,yes,Achondrogenesis type II,C0220685,extension,skeletal,1.0000,[L],,[O],0.7500,[H],1.0000,[L],,[O],3,0.9167,[O],[H],1.0000,[O],0.9167,[O],yes
2,yes,Tyrosinemia type I,C0268490,flagship,hepatic/metabolic,0.7000,[H],,[O],0.7500,[H],1.0000,[H],,[O],3,0.8167,[O],[H],1.0000,[O],0.8167,[O],
3,yes,Classic homocystinuria,C0751202,extension,metabolic,1.0000,[L],,[O],0.5000,[H],0.7000,[H],0.7500,[H],4,0.7375,[O],[H],1.0000,[O],0.7375,[O],
4,yes,alpha Thalassemia,C0002312,extension,hematologic,1.0000,[H],,[O],0.5000,[H],0.7000,[H],,[O],3,0.7333,[O],[H],1.0000,[O],0.7333,[O],
5,yes,"Niemann-Pick disease, type A",C0268242,flagship,lysosomal,0.8500,[L],0.5000,[H],0.7500,[H],,[O],,[O],3,0.7000,[O],[H],1.0000,[O],0.7000,[O],
6,yes,Cystic fibrosis,C0010674,flagship,respiratory/exocrine,0.8500,[L],0.5000,[H],,[O],0.7000,[H],,[O],3,0.6833,[O],[H],1.0000,[O],0.6833,[O],
7,yes,Gaucher disease type I,C1961835,extension,lysosomal,1.0000,[H],0.5000,[H],0.5000,[H],0.7000,[H],,[O],4,0.6750,[O],[H],1.0000,[O],0.6750,[O],
8,yes,Hurler syndrome,C0086795,extension,lysosomal,0.8500,[L],0.5000,[H],0.5000,[H],0.7000,[H],0.7500,[H],5,0.6600,[H],[H],1.0000,[O],0.6600,[O],
9,yes,"Glycogen storage disease, type II",C0017921,flagship,metabolic/muscular,0.3500,[L],0.5000,[H],,[O],1.0000,[H],0.7500,[H],4,0.6500,[O],[H],1.0000,[O],0.6500,[O],
10,yes,Osteogenesis imperfecta,C0029434,flagship,skeletal,1.0000,[L],0.5000,[H],0.5000,[H],0.7000,[H],0.5000,[H],5,0.6400,[H],[H],1.0000,[O],0.6400,[O],yes
11,yes,Gaucher disease,C0017205,flagship,lysosomal,0.8500,[L],0.5000,[H],0.5000,[H],0.7000,[H],,[O],4,0.6375,[O],[H],1.0000,[O],0.6375,[O],
12,yes,Duchenne muscular dystrophy,C0013264,flagship,musculoskeletal,0.7000,[L],0.5000,[H],0.5000,[H],0.7000,[H],0.7500,[H],5,0.6300,[H],[H],1.0000,[O],0.6300,[O],
13,yes,Tyrosinemia type II,C0268487,extension,metabolic,0.8500,[H],,[O],0.2500,[H],,[O],0.7500,[H],3,0.6167,[O],[H],1.0000,[O],0.6167,[O],
14,yes,Fabry disease,C0002986,flagship,lysosomal,0.5500,[L],0.5000,[H],0.5000,[H],0.7000,[H],,[O],4,0.5625,[O],[H],1.0000,[O],0.5625,[O],
15,yes,Becker muscular dystrophy,C0917713,extension,musculoskeletal,0.3500,[L],0.5000,[H],0.5000,[H],0.7000,[H],0.7500,[H],5,0.5600,[H],[H],1.0000,[O],0.5600,[O],
16,yes,Polycystic kidney disease 2,C2751306,flagship,renal,0.5500,[L],0.5000,[L],0.5000,[H],,[O],,[O],3,0.5167,[O],[H],1.0000,[O],0.5167,[O],
17,yes,Marfan syndrome,C0024796,flagship,connective_tissue,0.3500,[L],0.5000,[H],0.5000,[H],0.7000,[H],,[O],4,0.5125,[O],[H],1.0000,[O],0.5125,[O],yes
,no,21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia,C2936858,extension,endocrine,0.3500,[L],,[O],0.5000,[H],,[O],,[O],2,0.4250,[O],[H],1.0000,[O],0.4250,[O],
,no,Achondroplasia,C0001080,extension,skeletal,1.0000,[L],,[O],,[O],0.4000,[H],,[O],2,0.7000,[O],[H],1.0000,[O],0.7000,[O],yes
,no,Acute intermittent porphyria,C0162565,extension,metabolic,0.3500,[H],,[O],0.5000,[H],,[O],,[O],2,0.4250,[O],[H],1.0000,[O],0.4250,[O],
,no,Alpha-1-antitrypsin deficiency,C0221757,flagship,hepatic/respiratory,0.3500,[L],,[O],,[O],0.4000,[H],,[O],2,0.3750,[O],[H],1.0000,[O],0.3750,[O],
,no,Beta-thalassemia HBB/LCRB,CN322236,flagship,hematologic,0.7000,[H],,[O],0.5000,[H],,[O],,[O],2,0.6000,[O],[H],1.0000,[O],0.6000,[O],
,no,Hb SS disease,C0002895,extension,hematologic,0.7000,[H],,[O],,[O],0.7000,[H],,[O],2,0.7000,[O],[H],1.0000,[O],0.7000,[O],
,no,Hemochromatosis type 1,C3469186,flagship,hepatic/metabolic,,[O],0.5000,[H],0.7500,[H],,[O],,[O],2,0.6250,[O],[H],1.0000,[O],0.6250,[O],
,no,Hereditary factor IX deficiency disease,C0008533,extension,hematologic,0.7000,[H],,[O],0.5000,[H],,[O],,[O],2,0.6000,[O],[H],1.0000,[O],0.6000,[O],
,no,Maple syrup urine disease,C0024776,flagship,metabolic,1.0000,[H],,[O],0.5000,[H],,[O],,[O],2,0.7500,[O],[H],1.0000,[O],0.7500,[O],
,no,Phenylketonuria,C0031485,flagship,metabolic,1.0000,[L],,[O],,[O],,[O],0.7500,[H],2,0.8750,[O],[H],1.0000,[O],0.8750,[O],
,no,Wilson disease,C0019202,flagship,hepatic/metabolic,0.7000,[L],0.8000,[H],,[O],,[O],,[O],2,0.7500,[O],[H],1.0000,[O],0.7500,[O],
,no,Alkaptonuria,C0002066,extension,metabolic,0.8500,[L],,[O],,[O],,[O],,[O],1,0.8500,[O],[L],1.0000,[O],0.8500,[O],
,no,Cystinosis,C4316899,flagship,renal/lysosomal,0.8500,[L],,[O],,[O],,[O],,[O],1,0.8500,[O],[L],1.0000,[O],0.8500,[O],
,no,Cystinuria,C0010691,extension,renal,0.7000,[H],,[O],,[O],,[O],,[O],1,0.7000,[O],[H],1.0000,[O],0.7000,[O],
,no,"Ehlers-Danlos syndrome, classic type, 1",C0268335,extension,connective_tissue,,[O],,[O],0.2500,[H],,[O],,[O],1,0.2500,[O],[H],1.0000,[O],0.2500,[O],yes
,no,"Ehlers-Danlos syndrome, type 4",C0268338,extension,connective_tissue,1.0000,[H],,[O],,[O],,[O],,[O],1,1.0000,[O],[H],1.0000,[O],1.0000,[O],yes
,no,Hereditary factor VIII deficiency disease,C0019069,flagship,hematologic,,[O],,[O],0.5000,[H],,[O],,[O],1,0.5000,[O],[H],1.0000,[O],0.5000,[O],
