rank,rankable,entity,cui,tier,system_class,O_value,O_grade,P_value,P_grade,S_value,S_grade,M_value,M_grade,D_value,D_grade,axes_scored,raw_burden,raw_burden_grade_floor,raw_burden_grade_present,R_treat,R_treat_grade,burden_score,burden_score_grade,order_locked,emergence_link
1,yes,Achondrogenesis type II,C0220685,extension,skeletal,1.0000,[L],,[O],0.7500,[L],1.0000,[L],,[O],3,0.9167,[O],[L],1.0000,[H],0.9167,[H],yes,yes
2,yes,"Niemann-Pick disease, type A",C0268242,flagship,lysosomal,1.0000,[L],1.0000,[L],0.7500,[L],,[O],0.7500,[L],4,0.8750,[O],[L],1.0000,[H],0.8750,[H],yes,
3,yes,Tyrosinemia type I,C0268490,flagship,hepatic/metabolic,0.7000,[H],,[O],0.7500,[L],1.0000,[H],,[O],3,0.8167,[O],[H],0.4500,[L],0.3675,[H],no,
4,yes,"Glycogen storage disease, type II",C0017921,flagship,metabolic/muscular,1.0000,[L],0.5000,[L],,[O],1.0000,[H],0.7500,[L],4,0.8125,[O],[H],0.4500,[L],0.3656,[H],no,
5,yes,Classic homocystinuria,C0751202,extension,metabolic,1.0000,[L],,[O],0.7500,[L],0.7000,[H],0.7500,[H],4,0.8000,[O],[H],0.4500,[L],0.3600,[H],no,
6,yes,Hurler syndrome,C0086795,extension,lysosomal,1.0000,[L],0.5000,[L],0.5000,[H],1.0000,[L],0.7500,[L],5,0.7500,[H],[H],0.4500,[L],0.3375,[H],no,
7,yes,Hereditary factor VIII deficiency disease,C0019069,flagship,hematologic,1.0000,[L],,[O],0.5000,[H],,[O],0.7500,[L],3,0.7500,[O],[H],0.4500,[L],0.3375,[H],no,
8,yes,Maple syrup urine disease,C0024776,flagship,metabolic,1.0000,[H],,[O],0.7500,[L],,[O],0.5000,[L],3,0.7500,[O],[H],0.4500,[L],0.3375,[H],no,
9,yes,Phenylketonuria,C0031485,flagship,metabolic,1.0000,[L],,[O],0.7500,[L],,[O],0.5000,[L],3,0.7500,[O],[L],0.4500,[L],0.3375,[L],yes,
10,yes,Achondroplasia,C0001080,extension,skeletal,1.0000,[L],,[O],0.7500,[L],0.4000,[H],,[O],3,0.7167,[O],[H],0.7000,[L],0.5017,[H],no,yes
11,yes,Cystic fibrosis,C0010674,flagship,respiratory/exocrine,0.8500,[L],0.5000,[L],,[O],0.7000,[H],,[O],3,0.6833,[O],[H],0.4500,[L],0.3075,[H],no,
12,yes,Duchenne muscular dystrophy,C0013264,flagship,musculoskeletal,0.7000,[L],0.5000,[L],0.7500,[L],0.7000,[L],0.7500,[L],5,0.6800,[L],[L],0.7000,[L],0.4760,[L],yes,
13,yes,Gaucher disease type I,C1961835,extension,lysosomal,1.0000,[L],0.5000,[L],0.5000,[H],0.7000,[L],,[O],4,0.6750,[O],[H],0.4500,[L],0.3038,[H],no,
14,yes,Tyrosinemia type II,C0268487,extension,metabolic,1.0000,[L],,[O],0.2500,[L],,[O],0.7500,[L],3,0.6667,[O],[L],0.4500,[L],0.3000,[L],yes,
15,yes,Fabry disease,C0002986,flagship,lysosomal,0.7000,[L],0.5000,[L],0.7500,[L],0.7000,[H],,[O],4,0.6625,[O],[H],0.7000,[L],0.4637,[H],no,
16,yes,Hereditary factor IX deficiency disease,C0008533,extension,hematologic,0.7000,[H],,[O],0.5000,[H],,[O],0.7500,[L],3,0.6500,[O],[H],0.4500,[L],0.2925,[H],no,
17,yes,Osteogenesis imperfecta,C0029434,flagship,skeletal,1.0000,[L],0.5000,[H],0.5000,[H],0.7000,[L],0.5000,[L],5,0.6400,[H],[H],0.7000,[L],0.4480,[H],no,yes
18,yes,Gaucher disease,C0017205,flagship,lysosomal,0.8500,[L],0.5000,[L],0.5000,[H],0.7000,[L],,[O],4,0.6375,[O],[H],0.4500,[L],0.2869,[H],no,
19,yes,Becker muscular dystrophy,C0917713,extension,musculoskeletal,0.7000,[L],0.5000,[L],0.5000,[H],0.7000,[L],0.7500,[L],5,0.6300,[H],[H],0.9000,[L],0.5670,[H],no,
20,yes,alpha Thalassemia,C0002312,extension,hematologic,1.0000,[H],,[O],0.5000,[H],0.7000,[H],0.2000,[L],4,0.6000,[O],[H],0.9000,[L],0.5400,[H],no,
21,yes,Marfan syndrome,C0024796,flagship,connective_tissue,0.3500,[L],0.5000,[L],0.7500,[L],0.7000,[L],,[O],4,0.5750,[O],[L],0.4500,[L],0.2587,[L],yes,yes
22,yes,Beta-thalassemia HBB/LCRB,CN322236,flagship,hematologic,0.7000,[L],,[O],0.5000,[H],,[O],0.5000,[L],3,0.5667,[O],[H],0.4500,[L],0.2550,[H],no,
23,yes,Polycystic kidney disease 2,C2751306,flagship,renal,0.5500,[L],0.5000,[L],0.5000,[H],,[O],,[O],3,0.5167,[O],[H],0.7000,[L],0.3617,[H],no,
,no,21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia,C2936858,extension,endocrine,1.0000,[L],,[O],0.5000,[H],,[O],,[O],2,0.7500,[O],[H],0.4500,[L],0.3375,[H],no,
,no,Acute intermittent porphyria,C0162565,extension,metabolic,0.5500,[L],,[O],0.7500,[L],,[O],,[O],2,0.6500,[O],[L],0.4500,[L],0.2925,[L],no,
,no,Alpha-1-antitrypsin deficiency,C0221757,flagship,hepatic/respiratory,0.3500,[L],,[O],,[O],0.4000,[H],,[O],2,0.3750,[O],[H],0.7000,[L],0.2625,[H],no,
,no,Hb SS disease,C0002895,extension,hematologic,0.7000,[L],,[O],,[O],0.7000,[H],,[O],2,0.7000,[O],[H],0.7000,[L],0.4900,[H],no,
