entity,medgen_cui,medgen_uid,omim_mim,genes,n_genes,inheritance_class,inheritance_grade,inheritance_source,mechanism_class,mechanism_grade,mechanism_source,semantic_type,organ_system_hint,in_scope,exclusion_reason,clinical_definition,provenance,cns_cross_reference
11p partial monosomy syndrome,C0206115,64512,194072,PAX6;WT1,2,Autosomal dominant inheritance,[L],medgen:esummary:ModeOfInheritance:2026-06-17,haploinsufficiency,[L],"clingen:HI_score_3:2026-06-17; genes=WT1; PMID:15503171,17551084,25613702",Disease or Syndrome,unclassified_systemic,true,,"PAX6-related aniridia occurs either as an isolated ocular abnormality or as part of the Wilms tumor-aniridia-genital anomalies-retardation (WAGR) syndrome. Aniridia is a pan ocular disorder affecting the cornea, iris, intraocular pressure (resulting in glaucoma), lens (cataract and lens subluxation), fovea (foveal hypoplasia), and optic nerve (optic nerve coloboma and hypoplasia). Individuals with aniridia characteristically show nystagmus and impaired visual acuity (usually 20/100 - 20/200); however, milder forms of aniridia with subtle iris architecture changes, good vision, and normal foveal structure do occur. Other ocular involvement may include strabismus and occasionally microphthalmia. Although the severity of aniridia can vary between and within families, little variability is usually observed in the two eyes of an affected individual. WAGR syndrome. The risk for Wilms tumor is 42.5%-77%; of those who develop Wilms tumor, 90% do so by age four years and 98% by age seven years. Genital anomalies in males can include cryptorchidism and hypospadias (sometimes resulting in ambiguous genitalia), urethral strictures, ureteric abnormalities, and gonadoblastoma. While females typically have normal external genitalia, they may have uterine abnormalities and streak ovaries. Intellectual disability (defined as IQ <74) is observed in 70%; behavioral abnormalities include attention-deficit/hyperactivity disorder (ADHD), autism spectrum disorder, anxiety, depression, and obsessive-compulsive disorder. Other individuals with WAGR syndrome can have normal intellect without behavioral issues.",clinvar:gene_condition_source_id:2026-06-17,false
17p11.2 microduplication syndrome,C2931246,444010,610883,FLCN;RAI1,2,Not genetically inherited,[L],medgen:esummary:ModeOfInheritance:2026-06-17,haploinsufficiency,[L],"clingen:HI_score_3:2026-06-17; genes=FLCN,RAI1; PMID:12652298,15565467,15788730,20413710,21412933,22146830",Disease or Syndrome,unclassified_systemic,true,,"Potocki-Lupski syndrome (PTLS) is characterized by cognitive, behavioral, and medical manifestations. Cognitively, most individuals present with developmental delay, later meeting criteria for moderate intellectual disability. Behaviorally, issues with attention, hyperactivity, withdrawal, and anxiety may be seen. Some individuals meet criteria for autism spectrum disorder. Medically, hypotonia, oropharyngeal dysphagia leading to failure to thrive, congenital heart disease, hypoglycemia associated with growth hormone deficiency, and mildly dysmorphic facial features are observed. Medical manifestations typically lead to identification of PTLS in infancy; however, those with only behavioral and cognitive manifestations may be identified in later childhood.",clinvar:gene_condition_source_id:2026-06-17,false
2-aminoadipic 2-oxoadipic aciduria,C1859817,395350,204750,DHTKD1,1,not_stated,[O],medgen:esummary:no_ModeOfInheritance:2026-06-17,[O] not_curated,[O],"obstacle: molecular mechanism not yet curated from primary literature (non-recessive/unspecified: inheritance not stated); candidate modes (haploinsufficiency / gain-of-function / dominant-negative) require per-gene OMIM allelic-variant + PubMed review; not guessed (constitution C-D3, VP-SPEC C3)",Disease or Syndrome,metabolic,true,,"Alpha-aminoadipic and alpha ketoadipic aciduria (AAKAD) is an inborn error of lysine, tryptophan, and hydroxylysine metabolism, which is manifested by the accumulation and excretion of 2-aminoadipic, 2-ketoadipic, and 2-hydroxyadipic acids.",clinvar:gene_condition_source_id:2026-06-17,false
21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia,C2936858,424833,201910,CYP21A2,1,Autosomal recessive inheritance,[L],medgen:esummary:ModeOfInheritance:2026-06-17,loss-of-function (biallelic; recessive),[H],inference:recessive=>loss_of_function; basis=medgen_inheritance(recessive); corrob=clingen_AR(HI30):CYP21A2,Disease or Syndrome,endocrine_growth,true,,"21-hydroxylase deficiency (21-OHD) is the most common cause of congenital adrenal hyperplasia (CAH), a family of autosomal recessive disorders involving impaired synthesis of cortisol from cholesterol by the adrenal cortex. In 21-OHD CAH, excessive adrenal androgen biosynthesis results in virilization in all individuals and salt wasting in some individuals. A classic form with severe enzyme deficiency and prenatal onset of virilization is distinguished from a non-classic form with mild enzyme deficiency and postnatal onset. The classic form is further divided into the simple virilizing form (~25% of affected individuals) and the salt-wasting form, in which aldosterone production is inadequate (=75% of individuals). Newborns with salt-wasting 21-OHD CAH are at risk for life-threatening salt-wasting crises. Individuals with the non-classic form of 21-OHD CAH present postnatally with signs of hyperandrogenism; females with the non-classic form are not virilized at birth.",clinvar:gene_condition_source_id:2026-06-17,false
3 beta-Hydroxysteroid dehydrogenase deficiency,C0342471,452446,201810,HSD3B2,1,Autosomal recessive inheritance,[L],medgen:esummary:ModeOfInheritance:2026-06-17,loss-of-function (biallelic; recessive),[H],inference:recessive=>loss_of_function; basis=medgen_inheritance(recessive),Disease or Syndrome,metabolic,true,,"Classic 3-beta-hydroxysteroid dehydrogenase deficiency is an autosomal recessive form of CAH characterized by a severe impairment of steroid biosynthesis in both the adrenals and the gonads, resulting in decreased excretion of cortisol and aldosterone and of progesterone, androgens, and estrogens by these tissues. Affected newborns exhibit signs and symptoms of glucocorticoid and mineralocorticoid deficiencies, which may be fatal if not diagnosed and treated early, especially in the severe salt-wasting form. Moreover, male newborns exhibit pseudohermaphroditism with incomplete masculinization of the external genitalia due to an impairment of androgen biosynthesis in the testis. In contrast, affected females exhibit normal sexual differentiation or partial virilization (summary by Rheaume et al., 1992).",clinvar:gene_condition_source_id:2026-06-17,false
3-hydroxy-3-methylglutaryl-CoA synthase deficiency,C2751532,414399,605911,HMGCS2,1,Autosomal recessive inheritance,[L],medgen:esummary:ModeOfInheritance:2026-06-17,loss-of-function (biallelic; recessive),[H],inference:recessive=>loss_of_function; basis=medgen_inheritance(recessive),Disease or Syndrome,metabolic,true,,"Mitochondrial HMG-CoA synthase deficiency (HMGCS2D) is an inherited metabolic disorder caused by a defect in the enzyme that regulates the formation of ketone bodies. Patients present with hypoketotic hypoglycemia, encephalopathy, and hepatomegaly, usually precipitated by an intercurrent infection or prolonged fasting (summary by Aledo et al., 2006).",clinvar:gene_condition_source_id:2026-06-17,false
3-hydroxyisobutyryl-CoA hydrolase deficiency,C0342738,83349,250620,HIBCH,1,Autosomal recessive inheritance,[L],medgen:esummary:ModeOfInheritance:2026-06-17,loss-of-function (biallelic; recessive),[H],inference:recessive=>loss_of_function; basis=medgen_inheritance(recessive),Disease or Syndrome,metabolic,true,,"3-Hydroxyisobutyryl-CoA hydrolase (HIBCH) deficiency can be categorized into three subtypes based on age of presentation. Neonatal onset, the least frequent phenotype, is characterized by hypotonia, seizures, and feeding difficulties at birth. There is a high risk of death in childhood, and individuals that survive typically have developmental delay, seizures, poor weight gain, and growth deficiency and develop a movement disorder. Infantile onset is the most common phenotype, presenting in the first two years of life with feeding difficulties, vomiting, developmental delay with regression, hypotonia, seizures, movement disorder, microcephaly, vision impairment, and episodes of neurologic deterioration. Late onset is the second most common phenotype, presenting in childhood as a slowly progressive disease with significant movement disorder with or without paroxysmal dystonia, variable cognitive impairment, and high survivability.",clinvar:gene_condition_source_id:2026-06-17,false
3-M syndrome,C1848862,336440,,,0,Autosomal recessive inheritance,[L],medgen:esummary:ModeOfInheritance:2026-06-17,loss-of-function (biallelic; recessive),[H],inference:recessive=>loss_of_function; basis=medgen_inheritance(recessive),Disease or Syndrome,unclassified_systemic,true,,"3-M syndrome is characterized by severe pre- and postnatal growth deficiency (final height five standard deviations below the mean), characteristic facies (relative macrocephaly, dolichocephaly, triangular face, midface retrusion, thick eyebrows, fleshy nasal tip, long philtrum, thick vermilion of the upper and low lips, and pointed chin), and normal intelligence. Additional features of 3-M syndrome include short, broad neck, prominent trapezii, pectus carinatum/excavatum, short thorax, square shoulders, winged scapulae, thoracic kyphoscoliosis, hyperlordosis, spina bifida occulta, clinodactyly of the fifth fingers, generalized or distal joint hypermobility, dislocated hips, prominent heels, and pes planus. Males with 3-M syndrome can have hypogonadism and occasionally hypospadias.",clinvar:gene_condition_source_id:2026-06-17,false
3-methylcrotonyl-CoA carboxylase 1 deficiency,CN028786,468532,210200,MCCC1,1,not_stated,[O],medgen:esummary:no_ModeOfInheritance:2026-06-17,[O] not_curated,[O],"obstacle: molecular mechanism not yet curated from primary literature (non-recessive/unspecified: inheritance not stated); candidate modes (haploinsufficiency / gain-of-function / dominant-negative) require per-gene OMIM allelic-variant + PubMed review; not guessed (constitution C-D3, VP-SPEC C3)",Disease or Syndrome,metabolic,true,,"3-Methylcrotonylglycinuria is an autosomal recessive disorder of leucine catabolism. The clinical phenotype is highly variable, ranging from neonatal onset with severe neurologic involvement to asymptomatic adults. There is a characteristic organic aciduria with massive excretion of 3-hydroxyisovaleric acid and 3-methylcrotonylglycine, usually in combination with a severe secondary carnitine deficiency. MCC activity in extracts of cultured fibroblasts of patients is usually less than 2% of control (summary by Baumgartner et al., 2001). Also see 3-methylcrotonylglycinuria II (MCC2D; 210210), caused by mutation in the beta subunit of 3-methylcrotonyl-CoA carboxylase (MCCC2; 609014).",clinvar:gene_condition_source_id:2026-06-17,false
3-methylcrotonyl-CoA carboxylase 2 deficiency,C1859499,347898,210210,MCCC2,1,not_stated,[O],medgen:esummary:no_ModeOfInheritance:2026-06-17,[O] not_curated,[O],"obstacle: molecular mechanism not yet curated from primary literature (non-recessive/unspecified: inheritance not stated); candidate modes (haploinsufficiency / gain-of-function / dominant-negative) require per-gene OMIM allelic-variant + PubMed review; not guessed (constitution C-D3, VP-SPEC C3)",Disease or Syndrome,metabolic,true,,"3-Methylcrotonylglycinuria is an autosomal recessive disorder of leucine catabolism. The clinical phenotype is highly variable, ranging from neonatal onset with severe neurologic involvement to asymptomatic adults. There is a characteristic organic aciduria with massive excretion of 3-hydroxyisovaleric acid and 3-methylcrotonylglycine, usually in combination with a severe secondary carnitine deficiency. MCC activity in extracts of cultured fibroblasts of patients is usually less than 2% of control (summary by Baumgartner et al., 2001). Also see 3-methylcrotonylglycinuria I (MCC1D; 210200), caused by mutation in the alpha subunit of 3-methylcrotonyl-CoA carboxylase (MCCC1; 609010).",clinvar:gene_condition_source_id:2026-06-17,false
