entity,medgen_cui,omim_mim,genes,n_genes,inheritance_class,mechanism_class,organ_system_hint,in_scope,exclusion_reason,provenance
11p partial monosomy syndrome,C0206115,194072,PAX6;WT1,2,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
17p11.2 microduplication syndrome,C2931246,610883,FLCN;RAI1,2,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
2-aminoadipic 2-oxoadipic aciduria,C1859817,204750,DHTKD1,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia,C2936858,201910,CYP21A2,1,PENDING_R2,PENDING_R2,endocrine_growth,true,,clinvar:gene_condition_source_id:2026-06-17
3 beta-Hydroxysteroid dehydrogenase deficiency,C0342471,201810,HSD3B2,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-hydroxy-3-methylglutaryl-CoA synthase deficiency,C2751532,605911,HMGCS2,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-hydroxyisobutyryl-CoA hydrolase deficiency,C0342738,250620,HIBCH,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-M syndrome,C1848862,,,0,PENDING_R2,PENDING_R2,unclassified_systemic,true,,clinvar:gene_condition_source_id:2026-06-17
3-methylcrotonyl-CoA carboxylase 1 deficiency,CN028786,210200,MCCC1,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-methylcrotonyl-CoA carboxylase 2 deficiency,C1859499,210210,MCCC2,1,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
3-Methylglutaconic aciduria,C3696376,,,0,PENDING_R2,PENDING_R2,metabolic,true,,clinvar:gene_condition_source_id:2026-06-17
