unmet_rank,entity,cui,tier,system_class,rankable,raw_burden,burden_grade,evidence_status,treatment_gap_class,efficacy_offset_e,R_treat,treatment_grade,residual_unmet_need,residual_grade,burden_order_provisional,order_locked,headline_unmet_need
1,Achondrogenesis type II,C0220685,extension,skeletal,yes,0.9167,[L],none,no_disease_directed_therapy,0.0000,1.0000,[H],0.9167,[H],no,yes,yes
2,"Niemann-Pick disease, type A",C0268242,flagship,lysosomal,yes,0.8750,[L],none,no_disease_directed_therapy,0.0000,1.0000,[H],0.8750,[H],no,yes,yes
3,Becker muscular dystrophy,C0917713,extension,musculoskeletal,yes,0.6300,[H],symptomatic,symptomatic_only,0.1000,0.9000,[L],0.5670,[H],yes,no,no
4,alpha Thalassemia,C0002312,extension,hematologic,yes,0.6000,[H],symptomatic,symptomatic_only,0.1000,0.9000,[L],0.5400,[H],yes,no,no
5,Achondroplasia,C0001080,extension,skeletal,yes,0.7167,[H],disease-modifying (partial),partial_disease_modifying,0.3000,0.7000,[L],0.5017,[H],yes,no,no
6,Duchenne muscular dystrophy,C0013264,flagship,musculoskeletal,yes,0.6800,[L],disease-modifying (partial),partial_disease_modifying,0.3000,0.7000,[L],0.4760,[L],no,yes,no
7,Fabry disease,C0002986,flagship,lysosomal,yes,0.6625,[H],disease-modifying (partial),partial_disease_modifying,0.3000,0.7000,[L],0.4637,[H],yes,no,no
8,Osteogenesis imperfecta,C0029434,flagship,skeletal,yes,0.6400,[H],disease-modifying (partial),partial_disease_modifying,0.3000,0.7000,[L],0.4480,[H],yes,no,no
9,Tyrosinemia type I,C0268490,flagship,hepatic/metabolic,yes,0.8167,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3675,[H],yes,no,no
10,"Glycogen storage disease, type II",C0017921,flagship,metabolic/muscular,yes,0.8125,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3656,[H],yes,no,no
11,Polycystic kidney disease 2,C2751306,flagship,renal,yes,0.5167,[H],disease-modifying (partial),partial_disease_modifying,0.3000,0.7000,[L],0.3617,[H],yes,no,no
12,Classic homocystinuria,C0751202,extension,metabolic,yes,0.8000,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3600,[H],yes,no,no
13,Hurler syndrome,C0086795,extension,lysosomal,yes,0.7500,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3375,[H],yes,no,no
14,Hereditary factor VIII deficiency disease,C0019069,flagship,hematologic,yes,0.7500,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3375,[H],yes,no,no
15,Maple syrup urine disease,C0024776,flagship,metabolic,yes,0.7500,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3375,[H],yes,no,no
16,Phenylketonuria,C0031485,flagship,metabolic,yes,0.7500,[L],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3375,[L],no,yes,no
17,Cystic fibrosis,C0010674,flagship,respiratory/exocrine,yes,0.6833,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3075,[H],yes,no,no
18,Gaucher disease type I,C1961835,extension,lysosomal,yes,0.6750,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3038,[H],yes,no,no
19,Tyrosinemia type II,C0268487,extension,metabolic,yes,0.6667,[L],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3000,[L],no,yes,no
20,Hereditary factor IX deficiency disease,C0008533,extension,hematologic,yes,0.6500,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.2925,[H],yes,no,no
21,Gaucher disease,C0017205,flagship,lysosomal,yes,0.6375,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.2869,[H],yes,no,no
