health_state,dw_gbd2013,ui_lo,ui_hi,appendix_table,src_line
AIDS: not receiving antiretroviral treatment,0.582,0.406,0.743,2,685
Abdominopelvic problem: mild,0.011,0.005,0.021,2,848
Abdominopelvic problem: moderate,0.114,0.078,0.159,2,849
Abdominopelvic problem: severe,0.324,0.220,0.442,2,850
Acute myocardial infarction: days 1-2,0.432,0.288,0.579,2,876
Acute myocardial infarction: days 3-28,0.074,0.049,0.105,2,696
Alcohol use disorder: mild,0.235,0.160,0.327,2,740
Alcohol use disorder: moderate,0.373,0.248,0.508,2,741
Alcohol use disorder: severe,0.570,0.396,0.732,2,742
Alcohol use disorder: very mild,0.177,,,3/4,1124
Amphetamine dependence: mild,0.114,,,3/4,1128
Amphetamine dependence: moderate to severe,0.486,0.329,0.637,2,744
"Amputation of both arms: has long term, with treatment stu",0.123,0.081,0.176,3/4,1027
"Amputation of both arms: has long term, without treatment stu",0.383,0.251,0.525,3/4,1031
"Amputation of both legs: long term, with treatment",0.088,0.057,0.124,3/4,1050
"Amputation of both legs: long term, without treatment",0.443,0.297,0.589,3/4,1053
"Amputation of finger(s), has excluding thumb tin",0.005,0.002,0.010,3/4,1025
"Amputation of one arm: long term, treatment",0.059,,,3/4,1144
"Amputation of one arm: long term, without treatment",0.167,,,3/4,1147
"Amputation of one leg: long term, with treatment",0.039,0.023,0.059,3/4,1047
"Amputation of one leg: long term, without treatment",0.173,0.118,0.240,2,788
Amputation of thumb: long term,0.011,0.005,0.021,2,786
Amputation of toe,0.006,0.002,0.012,2,787
Anemia: mild,0.004,0.001,0.008,2,851
Anemia: moderate,0.052,0.034,0.076,2,852
Anemia: severe,0.149,0.101,0.209,2,853
Angina pectoris: mild,0.033,0.020,0.052,2,877
Angina pectoris: moderate,0.080,0.052,0.113,2,697
Angina pectoris: severe,0.167,0.110,0.240,2,878
Anorexia nervosa,0.224,0.150,0.312,2,901
Anxiety disorders: mild,0.030,0.018,0.046,2,747
Anxiety disorders: moderate,0.133,0.091,0.186,2,748
Anxiety disorders: severe,0.523,0.362,0.677,2,749
Asperger's syndrome,0.104,0.071,0.147,2,916
Asthma: controlled,0.015,0.007,0.026,2,725
Asthma: partially controlled,0.036,0.022,0.055,2,726
Attention deficit hyperactivity disorder,0.045,0.028,0.066,2,903
Autism,0.262,0.176,0.365,2,917
Benign prostatic hypertrophy: symptomatic,0.067,0.043,0.097,2,886
Bipolar disorder: manic episode,0.492,0.341,0.646,2,897
Bipolar disorder: residual state,0.032,0.018,0.051,2,898
Borderline intellectual functionin,0.020,,,3/4,1134
Bulimia nervosa,0.223,0.149,0.311,2,902
"Burns of <20% total surface area or <10% total surface area if head or neck, or hands or",0.016,0.008,0.028,2,791
"Burns of <20% total surface area without lower airway burns: short term, with or without",0.141,0.094,0.196,2,789
"Burns of ≥20% total surface area or ≥10% total surface area if head or neck, or hands or",0.135,0.092,0.190,2,794
"Burns of ≥20% total surface area: short term, with or without treatment",0.314,0.211,0.441,2,793
COPD and other chronic respiratory diseases: mild,0.019,0.011,0.033,2,727
COPD and other chronic respiratory diseases: moderate,0.225,0.153,0.310,2,728
COPD and other chronic respiratory diseases: severe,0.408,0.273,0.556,2,729
Cancer: diagnosis and primary therapy,0.288,0.193,0.399,2,690
Cancer: metastatic,0.451,0.307,0.600,2,691
Cannabis dependence: mild,0.060,,,3/4,1126
Cannabis dependence: moderate to severe,0.266,0.178,0.364,2,743
Cardiac conduction disorders and cardiac dysrhythmias,0.224,0.151,0.312,2,698
Chronic kidney disease (stage IV),0.104,0.070,0.147,2,706
Claudication,0.014,0.007,0.025,2,879
Cocaine dependence: mild,0.165,,,3/4,1130
Cocaine dependence: moderate to severe,0.479,0.324,0.634,2,745
Concussion,0.158,,,3/4,1150
Conduct disorder,0.241,0.159,0.341,2,904
Crohn's disease or ulcerative colitis,0.231,0.156,0.320,2,710
"Crush injury: short or long term, with or without treatment",0.132,0.089,0.189,2,798
Decompensated cirrhosis of the liver,0.178,0.123,0.250,2,709
Dementia: mild,0.069,0.046,0.099,2,731
Dementia: moderate,0.377,0.252,0.508,2,732
Dementia: severe,0.449,0.304,0.595,2,890
Dental caries: symptomatic,0.010,0.005,0.019,2,924
Diabetic foot,0.020,0.010,0.034,2,884
Diabetic neuropathy,0.133,0.089,0.187,2,705
Diarrhoea: mild,0.074,0.049,0.104,2,679
Diarrhoea: moderate,0.188,0.125,0.264,2,680
Diarrhoea: severe,0.247,0.164,0.348,2,681
Disfigurement: level 1,0.011,0.005,0.021,2,926
Disfigurement: level 1 with itch or pain,0.027,0.015,0.042,2,929
Disfigurement: level 2,0.067,0.044,0.096,2,927
"Disfigurement: level 2, with itch or pain",0.188,0.125,0.267,2,930
Disfigurement: level 3,0.405,0.275,0.546,2,928
"Disfigurement: level 3, with itch or pain",0.576,0.401,0.731,2,931
"Dislocation of hip: long term, with or without treatment",0.016,0.008,0.028,2,799
"Dislocation of knee: long term, with or without treatment",0.113,0.075,0.160,2,800
"Dislocation of shoulder: long term, with or without treatment",0.062,0.041,0.088,2,801
Distance vision blindness,0.187,0.124,0.260,2,756
Distance vision: mild impairment,0.003,0.001,0.007,2,753
Distance vision: moderate impairment,0.031,0.019,0.049,2,754
Distance vision: monocular impairm,0.029,,,3/4,1137
Distance vision: severe impairment,0.184,0.125,0.258,2,755
"Drowning and nonfatal submersion: short or long term, with or without treatment",0.247,0.164,0.341,2,804
Ear pain,0.013,0.007,0.024,2,686
End-stage renal disease: on dialysis,0.571,0.398,0.725,2,708
End-stage renal disease: with kidney transplant,0.024,0.014,0.039,2,707
Epididymo-orchitis,0.128,0.086,0.180,2,682
Epilepsy: less severe (seizures <,0.367,,,3/4,1120
Epilepsy: severe (seizures ≥ once,0.710,,,3/4,1116
Fetal alcohol syndrome: mild,0.016,0.008,0.030,2,894
Fetal alcohol syndrome: moderate,0.056,0.035,0.083,2,895
Fetal alcohol syndrome: severe,0.179,0.119,0.257,2,896
"Fracture of clavicle, scapula, or humerus: short or long term, with or without treatment",0.035,0.021,0.053,2,805
"Fracture of face bone: short or long term, with or without",0.067,0.044,0.097,3/4,1057
"Fracture of foot bones: long term, without treatment",0.026,0.015,0.042,2,807
"Fracture of foot bones: short term, with or without treatment",0.026,0.015,0.043,2,806
"Fracture of hand: long term, without treatment",0.014,0.007,0.025,2,809
"Fracture of hand: short term, with or without treatment",0.010,0.005,0.019,2,808
"Fracture of neck of femur: long term, with treatment",0.058,0.038,0.084,2,811
"Fracture of neck of femur: long term, without treatment",0.402,0.269,0.541,2,812
"Fracture of neck of femur: short term, with or without treatment",0.258,0.172,0.356,2,810
"Fracture of patella, tibia or fibula, or ankle: long term, with or without treatment",0.055,0.036,0.081,2,827
"Fracture of patella, tibia or fibula, or ankle: short term, with or without treatment",0.050,0.032,0.075,2,826
Fracture of pelvis: long term,0.182,0.123,0.253,2,829
Fracture of pelvis: short term,0.279,0.188,0.384,2,828
"Fracture of radius or ulna: long term, without treatment",0.043,0.028,0.064,2,831
"Fracture of radius or ulna: short term, with or without treatment",0.028,0.016,0.046,2,830
"Fracture of skull: short or long term, with or without treatment",0.071,0.048,0.100,2,832
"Fracture of sternum or fracture of one or two ribs: short term, with or without treatment",0.103,0.068,0.145,2,833
