cui,omim,hpoa_disease_name,match_basis
C0031485,261600,Phenylketonuria,exact disease_name match in phenotype.hpoa
CN322236,613985,BETA-THALASSEMIA,disease_name match in phenotype.hpoa (case-insensitive)
C0017205,230800,"Gaucher disease, type I",umbrella concept joined to HPO Gaucher type I
C0017205,230900,"Gaucher disease, type II",umbrella concept joined to HPO Gaucher type II
C0017205,231000,"Gaucher disease, type III",umbrella concept joined to HPO Gaucher type III
C0024776,248600,Maple syrup urine disease,exact disease_name match in phenotype.hpoa
C0017921,232300,Glycogen storage disease II,disease_name match in phenotype.hpoa (Pompe / GSD II)
C0029434,166200,"Osteogenesis imperfecta, type I",OI series number 120150 carries no HPO annotations; joined to COL1A1/COL1A2 classic type I
C0029434,166210,"Osteogenesis imperfecta, type II",OI series number 120150 carries no HPO annotations; joined to COL1A1/COL1A2 classic type II
C0029434,166220,"Osteogenesis imperfecta, type IV",OI series number 120150 carries no HPO annotations; joined to COL1A1/COL1A2 classic type IV
C0029434,259420,"Osteogenesis imperfecta, type III",OI series number 120150 carries no HPO annotations; joined to COL1A1/COL1A2 classic type III
