composite_rank,gene,program,system,gamma,spinodal,barrier,cascade_depth,is_source
1,PITX2,cranio_tooth,skeletal,1.288836,0.5631766,0.41527456,0,True
2,GATA4,heart,cardiac,1.393316,0.63302746,0.48533237,0,True
3,MSX2,cranio_tooth,skeletal,1.41306,0.6465305,0.49918464,0,True
4,OTX2,midbrain,nervous,1.421124,0.65207278,0.50489836,0,True
5,TBX5,limb_fore,skeletal,1.439412,0.66470017,0.51797673,0,True
6,PAX2,kidney,urinary,1.463856,0.6817037,0.5357186,0,True
7,PAX7,myo_prog,muscular,1.475292,0.68970773,0.54412162,0,True
8,MSX1,cranio_tooth,skeletal,1.494792,0.70342737,0.55860078,0,True
9,FOXA2,notochord,axial,1.498616,0.70612837,0.56146248,0,True
10,GBX2,hindbrain,nervous,1.54338,0.73800179,0.59550546,0,True
11,TBX4,limb_hind,skeletal,1.548816,0.74190424,0.59970775,0,True
12,MYF5,myogenic,muscular,1.387064,0.62877152,0.48098664,1,False
13,HNF4A,liver,digestive,1.399616,0.63732574,0.48973124,1,False
14,HOXD13,hox_post,axial,1.412256,0.64597879,0.49861675,1,False
15,HES7,seg_clock,axial,1.4285,0.657156,0.51015306,1,False
16,DLX5,cranio,skeletal,1.430336,0.65842334,0.51146527,1,False
17,SHH,shh_limb,skeletal,1.44788,0.6705744,0.52408912,1,False
18,EMX2,cortex,nervous,1.457112,0.6769982,0.53079385,1,False
19,PDX1,pancreas,digestive,1.473232,0.68826364,0.54260313,1,False
20,FOXG1,forebrain,nervous,1.473676,0.68857481,0.54293024,1,False
21,DLL3,seg_clock,axial,1.481696,0.69420346,0.54885576,1,False
22,TBX6,somite,axial,1.486576,0.69763585,0.55247705,1,False
23,MYOD1,myogenic,muscular,1.493336,0.70239986,0.5575131,1,False
24,NKX2-1,lung_thy,respiratory,1.508736,0.71329305,0.56907108,1,False
25,PAX6,eye_brain,nervous,1.511044,0.71493043,0.57081349,1,False
26,NKX2-5,heart,cardiac,1.512844,0.71620827,0.57217424,1,False
27,HOXA13,hox_post,axial,1.542792,0.73758008,0.59505179,1,False
28,LFNG,seg_clock,axial,1.545428,0.73947122,0.59708693,1,False
29,SIX2,kidney,urinary,1.556088,0.74713545,0.60535247,1,False
30,GLI3,shh_limb,skeletal,1.298352,0.56942534,0.42142948,2,False
31,MEOX1,somite,axial,1.400496,0.63792691,0.49034726,2,False
32,MYOG,myo_diff,muscular,1.434124,0.66104065,0.51417791,2,False
33,PAX9,sclerotome,axial,1.482568,0.69481638,0.54950197,3,False
34,PAX1,sclerotome,axial,1.504372,0.7102005,0.56578378,3,False
35,SOX9,chondro,skeletal,1.45926,0.67849575,0.53235994,4,False
36,RUNX2,ossif,skeletal,1.241556,0.53247299,0.38536533,5,False
37,GDF5,joint,skeletal,1.44802,0.67067166,0.52419048,5,False
38,SP7,ossif,skeletal,1.493224,0.70232084,0.55742948,6,False
