stage,stage_num,predicted_day,cited_day,abs_err_days,in_somite_window,held_out,within_accept
CS8,8,17.625,18.0,0.375,True,True,True
CS9,9,19.812,20.0,0.188,True,True,True
CS10,10,22.0,22.0,0.0,True,False,True
CS11,11,24.188,24.0,0.188,True,True,True
CS12,12,26.375,26.0,0.375,True,True,True
CS13,13,28.562,28.0,0.562,True,True,True
CS14,14,30.75,32.0,1.25,False,True,True
CS15,15,32.938,33.0,0.062,False,True,True
CS16,16,35.125,37.0,1.875,False,True,False
CS17,17,37.312,41.0,3.688,False,True,False
CS18,18,39.5,44.0,4.5,False,True,False
CS19,19,41.688,47.5,5.812,False,True,False
CS20,20,43.875,50.0,6.125,False,True,False
CS21,21,46.062,52.0,5.938,False,True,False
CS22,22,48.25,54.0,5.75,False,True,False
CS23,23,50.438,57.0,6.562,False,True,False
