parent,child,tf_family,observed,shuffle_mean,shuffle_sd,z,above_background
PAX1,SOX9,PAX,2,6.55,2.625,-1.733,False
SOX9,RUNX2,SOX,5,12.62,3.579,-2.129,False
ISL1,PITX1,ISL,4,1.012,1.012,2.953,True
FGF10,WNT3A,ETS,40,32.488,5.038,1.491,False
WNT3A,FGF8,TCF,1,1.204,1.065,-0.192,False
HOXA1,HOXA2,HOX,4,3.152,1.716,0.494,False
HOXA2,HOXA3,HOX,5,6.14,2.4,-0.475,False
HOXA3,HOXA4,HOX,9,6.79,2.74,0.807,False
HOXA4,HOXA5,HOX,11,3.346,1.902,4.024,True
HOXA5,HOXA6,HOX,4,2.66,1.726,0.776,False
HOXA6,HOXA7,HOX,1,2.98,1.789,-1.107,False
HOXA7,HOXA9,HOX,7,3.81,1.991,1.602,False
HOXA9,HOXA10,HOX,2,5.064,2.205,-1.389,False
HOXA10,HOXA11,HOX,7,3.816,1.932,1.648,False
HOXD1,HOXD3,HOX,4,2.934,1.776,0.6,False
HOXD3,HOXD4,HOX,8,4.052,2.009,1.965,True
HOXD4,HOXD8,HOX,12,3.424,1.978,4.336,True
HOXD8,HOXD9,HOX,4,3.448,1.931,0.286,False
HOXD9,HOXD10,HOX,6,4.678,2.278,0.58,False
HOXD10,HOXD11,HOX,3,0.824,0.881,2.469,True
HOXD11,HOXD12,HOX,2,1.724,1.345,0.205,False
