composite_rank,gene,program,system,gamma,spinodal,barrier,cascade_depth,is_source
1,PITX2,cranio_tooth,skeletal,1.288836,0.5631766,0.41527456,0,True
2,GATA4,heart,cardiac,1.393316,0.63302746,0.48533237,0,True
3,MSX2,cranio_tooth,skeletal,1.41306,0.6465305,0.49918464,0,True
4,WNT2B,limb_induce,skeletal,1.413336,0.64671993,0.49937966,0,True
5,OTX2,midbrain,nervous,1.421124,0.65207278,0.50489836,0,True
6,ISL1,limb_induce,skeletal,1.424404,0.65433159,0.50723169,0,True
7,PAX2,kidney,urinary,1.463856,0.6817037,0.5357186,0,True
8,HOXD1,hox_collinear,axial,1.470364,0.68625482,0.54049257,0,True
9,HOXA1,hox_collinear,axial,1.4923,0.70166905,0.55673982,0,True
10,MSX1,cranio_tooth,skeletal,1.494792,0.70342737,0.55860078,0,True
11,FOXA2,notochord,axial,1.498616,0.70612837,0.56146248,0,True
12,ALDH1A2,ra_axis,skeletal,1.505932,0.71130548,0.5669578,0,True
13,GBX2,hindbrain,nervous,1.54338,0.73800179,0.59550546,0,True
14,HNF4A,liver,digestive,1.399616,0.63732574,0.48973124,1,False
15,HOXA2,hox_collinear,axial,1.426192,0.65556402,0.50850591,1,False
16,HES7,seg_clock,axial,1.4285,0.657156,0.51015306,1,False
17,DLX5,cranio,skeletal,1.430336,0.65842334,0.51146527,1,False
18,TBX5,limb_fore,skeletal,1.439412,0.66470017,0.51797673,1,False
19,EMX2,cortex,nervous,1.457112,0.6769982,0.53079385,1,False
20,PDX1,pancreas,digestive,1.473232,0.68826364,0.54260313,1,False
21,FOXG1,forebrain,nervous,1.473676,0.68857481,0.54293024,1,False
22,DLL3,seg_clock,axial,1.481696,0.69420346,0.54885576,1,False
23,TBX6,somite,axial,1.486576,0.69763585,0.55247705,1,False
24,HOXD3,hox_collinear,axial,1.501272,0.70800641,0.5634544,1,False
25,NKX2-1,lung_thy,respiratory,1.508736,0.71329305,0.56907108,1,False
26,PAX6,eye_brain,nervous,1.511044,0.71493043,0.57081349,1,False
27,PITX1,limb_induce,skeletal,1.512684,0.71609466,0.57205322,1,False
28,NKX2-5,heart,cardiac,1.512844,0.71620827,0.57217424,1,False
29,LFNG,seg_clock,axial,1.545428,0.73947122,0.59708693,1,False
30,SIX2,kidney,urinary,1.556088,0.74713545,0.60535247,1,False
31,MEOX1,somite,axial,1.400496,0.63792691,0.49034726,2,False
32,HOXA3,hox_collinear,axial,1.430196,0.65832667,0.51136515,2,False
33,HOXD4,hox_collinear,axial,1.463788,0.6816562,0.53566883,2,False
34,TBX4,limb_hind,skeletal,1.548816,0.74190424,0.59970775,2,False
35,FGF10,limb_outgrowth,skeletal,1.360388,0.61072022,0.46266388,3,False
36,HOXA4,hox_collinear,axial,1.438188,0.66385251,0.51709618,3,False
37,PAX7,myo_prog,muscular,1.475292,0.68970773,0.54412162,3,False
38,PAX9,sclerotome,axial,1.482568,0.69481638,0.54950197,3,False
39,HOXD8,hox_collinear,axial,1.500936,0.70776874,0.56320222,3,False
40,PAX1,sclerotome,axial,1.504372,0.7102005,0.56578378,3,False
41,MYF5,myogenic,muscular,1.387064,0.62877152,0.48098664,4,False
42,SOX9,chondro,skeletal,1.45926,0.67849575,0.53235994,4,False
43,MYOD1,myogenic,muscular,1.493336,0.70239986,0.5575131,4,False
44,HOXA5,hox_collinear,axial,1.506524,0.71172496,0.56740364,4,False
45,HOXD9,hox_collinear,axial,1.526132,0.72566514,0.58226972,4,False
46,WNT3A,aer,skeletal,1.59868,0.7780194,0.63894444,4,False
47,RUNX2,ossif,skeletal,1.241556,0.53247299,0.38536533,5,False
48,HOXD10,hox_collinear,axial,1.426768,0.6559612,0.50891673,5,False
49,MYOG,myo_diff,muscular,1.434124,0.66104065,0.51417791,5,False
50,HOXA6,hox_collinear,axial,1.482396,0.69469547,0.54937448,5,False
51,FGF8,aer,skeletal,1.496012,0.70428871,0.55951298,5,False
52,SHH,shh_limb,skeletal,1.44788,0.6705744,0.52408912,6,False
53,SP7,ossif,skeletal,1.493224,0.70232084,0.55742948,6,False
54,HOXA7,hox_collinear,axial,1.496028,0.70430001,0.55952494,6,False
55,HOXD11,hox_collinear,axial,1.557676,0.74827943,0.60658863,6,False
56,GLI3,shh_limb,skeletal,1.298352,0.56942534,0.42142948,7,False
57,HOXD12,hox_collinear,axial,1.502796,0.70908477,0.56459895,7,False
58,HOXA9,hox_collinear,axial,1.51908,0.72064119,0.57690101,7,False
59,HOXD13,hox_post,axial,1.412256,0.64597879,0.49861675,8,False
60,HOXA10,hox_collinear,axial,1.418928,0.65056194,0.50333917,8,False
61,GDF5,joint,skeletal,1.44802,0.67067166,0.52419048,8,False
62,HOXA11,hox_collinear,axial,1.435848,0.66223299,0.51541487,9,False
63,HOXA13,hox_post,axial,1.542792,0.73758008,0.59505179,10,False
