case,method,q_B,kappa_B,a_B,delta(PH),rel_med_% (pred),R2
Typhoon,lambda_ci,0.9,0.055,0.2,-,4.098854537934184,0.5673221653017054
Typhoon,gamma2,0.85,0.055,0.2,-,31.28398479801609,0.21210954573853902
Typhoon,ph,0.9,0.055,0.2,0.05,4.168760105298482,0.5334804591177214
Ocean,lambda_ci,0.9,0.055,0.2,-,6.940934394101621,-2.1264815190065716
Ocean,gamma2,0.85,0.055,0.2,-,31.789492331381318,-0.2559930033784905
Ocean,ph,0.9,0.08,0.2,0.05,8.852601349820697,-2.4322707743696697
2D Turbulence,lambda_ci,0.85,0.055,0.2,-,55.38515699567081,-0.09336619925759604
2D Turbulence,gamma2,0.85,0.055,0.2,-,59.76303001719228,-0.07814474927012127
2D Turbulence,ph,0.85,0.055,0.2,0.05,47.91191392079559,-0.09652266145648358
TC MultiVortex (strong),lambda_ci,0.85,0.08,0.2,-,17.735285564099684,-0.29429171664114495
TC MultiVortex (strong),gamma2,0.95,0.08,0.2,-,49.51878455602633,0.0471623904240166
TC MultiVortex (strong),ph,0.85,0.055,0.2,0.05,16.365596184689785,-0.26119922811172414
