case,method,q_B,kappa_B,a_B,delta(PH),rel_med_% (pred),R2
Typhoon,lambda_ci,0.9,0.055,0.2,-,4.098854537934184,0.393
Typhoon,gamma2,0.85,0.055,0.2,-,31.28398479801609,-0.978
Typhoon,ph,0.9,0.055,0.2,0.05,4.168760105298482,0.393
Ocean,lambda_ci,0.9,0.055,0.2,-,6.940934394101621,0.474
Ocean,gamma2,0.85,0.055,0.2,-,31.789492331381318,-10.056
Ocean,ph,0.9,0.08,0.2,0.05,8.852601349820697,-143.232
2D Turbulence,lambda_ci,0.85,0.055,0.2,-,55.38515699567081,-94.832
2D Turbulence,gamma2,0.85,0.055,0.2,-,59.76303001719228,-2.928
2D Turbulence,ph,0.85,0.055,0.2,0.05,47.91191392079559,-11.905
TC MultiVortex (strong),lambda_ci,0.85,0.08,0.2,-,17.735285564099684,-53.496
TC MultiVortex (strong),gamma2,0.95,0.08,0.2,-,49.51878455602633,-166.231
TC MultiVortex (strong),ph,0.85,0.055,0.2,0.05,16.365596184689785,-53.278
