case,method,n,coverage_10_percent,CI95_coverage_10_low,CI95_coverage_10_high,coverage_20_percent,CI95_coverage_20_low,CI95_coverage_20_high
2D Turbulence,gamma2,400,0.075,0.053037406335715714,0.10504833817401285,0.1725,0.13863464284363428,0.21259613674915653
2D Turbulence,lambda_ci,400,0.1025,0.07645843910823481,0.13610411016851132,0.19,0.15457325560638852,0.23132458156541352
2D Turbulence,ph,400,0.1125,0.0851480200886654,0.14722427637608715,0.2225,0.18448762755400633,0.2657918879788165
Ocean,gamma2,400,0.19,0.15457325560638852,0.23132458156541352,0.3375,0.29290085318846415,0.3851907550064321
Ocean,lambda_ci,400,0.71,0.6637006149990706,0.7523040759490635,0.9825,0.9643224844820973,0.9914978173392109
Ocean,ph,400,0.5725,0.5235544015629189,0.6200662655501273,0.94,0.9122765567969421,0.9593523194753389
TC MultiVortex (strong),gamma2,400,0.0975,0.07214471685094813,0.1305129588317948,0.2225,0.18448762755400633,0.2657918879788165
TC MultiVortex (strong),lambda_ci,400,0.2875,0.2453321707244168,0.3337107015304474,0.555,0.5060035322825036,0.6029500772515317
TC MultiVortex (strong),ph,400,0.315,0.27142015327845737,0.36209952374342447,0.5575,0.5085070928349432,0.6053989534960934
Typhoon,gamma2,400,0.17,0.13636842234813634,0.20990992044765294,0.32,0.2761833561331949,0.3672411944826901
Typhoon,lambda_ci,400,0.925,0.8949516618259873,0.9469625936642844,1.0,0.9904873594003194,1.0
Typhoon,ph,400,0.9275,0.8978168807373348,0.9490498115499382,1.0,0.9904873594003194,1.0
