case,method,n,median_resid_percent,CI95_median_resid_low,CI95_median_resid_high,mean_resid_percent,CI95_mean_resid_low,CI95_mean_resid_high
2D Turbulence,gamma2,400,90.73412785882323,86.84711048255107,94.72743458322833,140.88740306153682,126.93366660114535,155.2577672914344
2D Turbulence,lambda_ci,400,85.06549055842191,79.4500931313163,91.1438746037711,138.44435079703615,123.49172780939179,152.41795133183058
2D Turbulence,ph,400,82.15426665459772,76.69542490601843,87.12954026888197,127.07937087575989,112.32249026039433,141.04652996070072
Ocean,gamma2,400,61.17740130258944,54.908312362365756,66.69739263919709,78.81136701813064,71.69017862388647,86.53443249433333
Ocean,lambda_ci,400,13.860676499952085,12.838321878347319,14.879032786153061,15.154147781765898,14.140664801276163,16.13949954877941
Ocean,ph,400,17.257531296723286,15.449913901342688,19.016468407547784,19.164516842954683,17.897220344237017,20.46004917085126
TC MultiVortex (strong),gamma2,400,81.37799472744159,77.20654073602188,87.5283569369115,113.32097021288483,103.0918934056134,124.30540923710583
TC MultiVortex (strong),lambda_ci,400,35.950202787987195,31.99232734155841,39.43090666153265,42.1405144508054,39.1238793920402,45.022474111912345
TC MultiVortex (strong),ph,400,32.60839720748816,29.37417194870484,38.428266694322666,41.569188114229505,38.12931551391302,45.12704865784696
Typhoon,gamma2,400,60.47036617252203,54.346492872981486,67.8825758103043,73.23869464987547,66.80500608603904,80.10351906372034
Typhoon,lambda_ci,400,8.280447692176274,7.174527932328786,9.06069820935392,9.32696844720616,8.63380842387438,10.009399145319785
Typhoon,ph,400,8.422032159973929,7.2707103007905225,9.24930967095763,9.345147419054662,8.695686481300184,9.952127008072774
