case,method,n,median_resid_percent,mean_resid_percent
2D Turbulence,gamma2,400,90.7341278588232,140.8874030615368
2D Turbulence,lambda_ci,400,85.06549055842191,138.44435079703615
2D Turbulence,ph,400,82.15426665459773,127.07937087575986
Ocean,gamma2,400,61.17740130258946,78.81136701813061
Ocean,lambda_ci,400,13.86067649995209,15.15414778176589
Ocean,ph,400,17.257531296723243,19.164516842954672
TC MultiVortex (strong),gamma2,400,81.3779947274416,113.32097021288479
TC MultiVortex (strong),lambda_ci,400,35.950202787987095,42.140514450805384
TC MultiVortex (strong),ph,400,32.60839720748817,41.56918811422949
Typhoon,gamma2,400,60.47036617252204,73.23869464987544
Typhoon,lambda_ci,400,8.280447692176281,9.32696844720615
Typhoon,ph,400,8.422032159973904,9.345147419054655
