case,method,n,s_median,s_p25,s_p75,s_p5,s_p95,N_star_median,N_star_p25,N_star_p75,N_star_p5,N_star_p95
2D Turbulence,gamma2,400,1.0066215237705165,0.9591701470022032,1.0608361721805548,0.8705086507807959,1.1292086686942924,1.0,1.0,1.0,1.0,1.0
2D Turbulence,lambda_ci,400,1.0038512396290287,0.9490777121770994,1.0587219227648208,0.8651725727121276,1.1326847685479158,1.0,1.0,1.0,1.0,1.0
2D Turbulence,ph,400,0.9966342738174416,0.9499995259679208,1.0540943726426253,0.8700243067333896,1.1381405927047479,1.0,1.0,1.0,1.0,1.0
Ocean,gamma2,400,1.006027211622217,0.9431900581859267,1.0568121229900003,0.8686780379895336,1.1339857157021527,1.0,1.0,1.0,1.0,1.0
Ocean,lambda_ci,400,0.997448961906052,0.941651796007499,1.0551005848293733,0.8587640135962566,1.1238625212177968,1.0,1.0,1.0,1.0,1.0
Ocean,ph,400,0.9938887646077605,0.9458425625894774,1.047698741541657,0.8748921387221262,1.1321681232518774,1.0,1.0,1.0,1.0,1.0
TC MultiVortex (strong),gamma2,400,0.9995289949281014,0.9447388132376248,1.0505336622846637,0.8655134541771822,1.1199197743243363,2.0,2.0,2.0,2.0,2.0
TC MultiVortex (strong),lambda_ci,400,0.9985701828941151,0.9476361867850499,1.0542857565534232,0.8586792002770726,1.1218140613023009,2.0,2.0,2.0,2.0,2.0
TC MultiVortex (strong),ph,400,0.9956674964721046,0.9386621716604594,1.0528354224644212,0.8603766557330099,1.127010962336313,2.0,2.0,2.0,2.0,2.0
Typhoon,gamma2,400,0.994449975376675,0.9473966541390029,1.0520525056076897,0.889098757517558,1.1374335864759053,1.0,1.0,1.0,1.0,1.0
Typhoon,lambda_ci,400,1.0027478533587317,0.9511608340344956,1.0568169588246965,0.8642898615371145,1.1263407673714303,1.0,1.0,1.0,1.0,1.0
Typhoon,ph,400,0.9903887220791905,0.9365932878537874,1.0488707325889042,0.8658370051338572,1.1323600088890988,1.0,1.0,1.0,1.0,1.0
