case,method,target_rel_med%,sim_rel_med%,target_MAPE%,sim_MAPE%,target_rho,sim_rho
Typhoon,lambda_ci,3.19,4.098854537933113,3.31,4.6557423817030035,0.758,0.8039519621997637
Typhoon,gamma2,25.39,31.283984798008973,30.53,37.416127228419406,0.648,0.6594112463202895
Typhoon,ph,3.19,4.1687601052973156,3.31,4.648923026073954,0.758,0.7963739148369677
Ocean,lambda_ci,2.27,6.940934394101417,7.13,7.51088433512941,0.576,0.5072358577241107
Ocean,gamma2,24.34,31.789492331380387,37.12,37.29990431815017,-0.406,-0.4120028875180469
Ocean,ph,2.8,8.85260134982048,13.71,9.432200708550017,0.139,0.052178763617272604
2D Turbulence,lambda_ci,57.41,55.38515699551733,58.7,64.39451134214767,-0.248,-0.25459377871111694
2D Turbulence,gamma2,57.41,59.763030017032236,61.19,68.8200216192993,-0.248,-0.2524026400165001
2D Turbulence,ph,57.41,47.91191392065986,56.8,59.87845796630192,-0.248,-0.26044025275157967
TC MultiVortex (strong),lambda_ci,17.86,17.7352855640935,17.2,20.82696597917316,-0.091,-0.08277314233213957
TC MultiVortex (strong),gamma2,58.0,49.51878455600999,59.83,55.90830131427688,0.224,0.2150756567228545
TC MultiVortex (strong),ph,17.86,16.365596184683863,17.33,20.584635512947713,-0.091,-0.06534322089513059
