step,t,E,Z,eps,up,L,lam,Re_lam,C_eps,eta,kmax_eta,skew
0,0,0.837989,10.2567,0.164108,0.747435,1.357352,0.639146,59.7150,0.533459,0.042028,0.8966,-0.4847
12,0.0480,0.830090,10.3141,0.165026,0.743904,1.346659,0.634354,58.9873,0.539832,0.041969,0.8953,-0.4840
24,0.0960,0.822146,10.3716,0.165945,0.740336,1.336125,0.629560,58.2607,0.546418,0.041911,0.8941,-0.4855
36,0.1440,0.814159,10.4286,0.166858,0.736731,1.325796,0.624778,57.5367,0.553220,0.041853,0.8929,-0.4892
48,0.1920,0.806128,10.4844,0.167750,0.733089,1.315713,0.620034,56.8175,0.560216,0.041798,0.8917,-0.4953
60,0.2400,0.798056,10.5376,0.168602,0.729409,1.305917,0.615362,56.1063,0.567368,0.041745,0.8906,-0.5035
72,0.2880,0.789943,10.5869,0.169390,0.725692,1.296439,0.610800,55.4066,0.574624,0.041696,0.8895,-0.5130
84,0.3360,0.781795,10.6307,0.170092,0.721940,1.287308,0.606387,54.7218,0.581920,0.041653,0.8886,-0.5230
96,0.3840,0.773616,10.6678,0.170684,0.718153,1.278541,0.602159,54.0553,0.589191,0.041617,0.8878,-0.5326
108,0.4320,0.765412,10.6967,0.171146,0.714335,1.270154,0.598148,53.4098,0.596373,0.041589,0.8872,-0.5404
120,0.4800,0.757189,10.7165,0.171464,0.710487,1.262150,0.594375,52.7870,0.603413,0.041569,0.8868,-0.5449
132,0.5280,0.748954,10.7271,0.171633,0.706613,1.254531,0.590842,52.1871,0.610292,0.041559,0.8866,-0.5461
144,0.5760,0.740714,10.7291,0.171666,0.702716,1.247293,0.587527,51.6081,0.617041,0.041557,0.8866,-0.5448
156,0.6240,0.732476,10.7242,0.171587,0.698797,1.240431,0.584385,51.0458,0.623742,0.041562,0.8867,-0.5432
168,0.6720,0.724243,10.7142,0.171427,0.694859,1.233941,0.581363,50.4956,0.630499,0.041572,0.8869,-0.5427
180,0.7200,0.716019,10.7007,0.171211,0.690903,1.227819,0.578418,49.9538,0.637405,0.041585,0.8871,-0.5434
192,0.7680,0.707807,10.6845,0.170952,0.686929,1.222064,0.575527,49.4183,0.644513,0.041601,0.8875,-0.5447
204,0.8160,0.699609,10.6656,0.170650,0.682939,1.216673,0.572690,48.8890,0.651831,0.041619,0.8879,-0.5456
216,0.8640,0.691426,10.6435,0.170297,0.678933,1.211644,0.569921,48.3673,0.659325,0.041641,0.8883,-0.5460
228,0.9120,0.683261,10.6174,0.169878,0.674913,1.206970,0.567243,47.8550,0.666947,0.041666,0.8889,-0.5468
240,0.9600,0.675119,10.5866,0.169385,0.670879,1.202647,0.564674,47.3535,0.674651,0.041696,0.8895,-0.5482
252,1.0080,0.667002,10.5506,0.168810,0.666834,1.198665,0.562224,46.8638,0.682405,0.041732,0.8903,-0.5484
264,1.0560,0.658914,10.5096,0.168153,0.662779,1.195012,0.559895,46.3859,0.690194,0.041773,0.8911,-0.5457
276,1.1040,0.650860,10.4639,0.167423,0.658716,1.191677,0.557675,45.9187,0.698039,0.041818,0.8921,-0.5408
288,1.1520,0.642843,10.4146,0.166633,0.654646,1.188648,0.555542,45.4605,0.705982,0.041868,0.8932,-0.5359
300,1.2000,0.634864,10.3623,0.165797,0.650571,1.185913,0.553473,45.0092,0.714079,0.041920,0.8943,-0.5325
312,1.2480,0.626926,10.3083,0.164933,0.646491,1.183461,0.551442,44.5628,0.722391,0.041975,0.8955,-0.5310
324,1.2960,0.619031,10.2533,0.164052,0.642407,1.181282,0.549427,44.1195,0.730978,0.042031,0.8967,-0.5306
336,1.3440,0.611178,10.1978,0.163165,0.638319,1.179368,0.547413,43.6780,0.739882,0.042088,0.8979,-0.5299
348,1.3920,0.603367,10.1421,0.162273,0.634228,1.177711,0.545396,43.2382,0.749119,0.042146,0.8991,-0.5280
360,1.4400,0.595599,10.0858,0.161373,0.630132,1.176305,0.543384,42.8005,0.758674,0.042205,0.9004,-0.5244
372,1.4880,0.587876,10.0283,0.160452,0.626033,1.175142,0.541396,42.3664,0.768502,0.042265,0.9017,-0.5184
384,1.5360,0.580197,9.9687,0.159498,0.621931,1.174217,0.539454,41.9379,0.778537,0.042328,0.9030,-0.5094
396,1.5840,0.572564,9.9061,0.158497,0.617827,1.173521,0.537584,41.5167,0.788702,0.042395,0.9044,-0.4973
408,1.6320,0.564982,9.8397,0.157436,0.613722,1.173044,0.535810,41.1048,0.798919,0.042466,0.9059,-0.4822
420,1.6800,0.557452,9.7688,0.156301,0.609618,1.172775,0.534155,40.7038,0.809102,0.042543,0.9076,-0.4648
432,1.7280,0.549978,9.6928,0.155084,0.605518,1.172702,0.532640,40.3154,0.819170,0.042626,0.9094,-0.4460
444,1.7760,0.542565,9.6111,0.153778,0.601423,1.172811,0.531280,39.9405,0.829052,0.042716,0.9113,-0.4270
456,1.8240,0.535217,9.5239,0.152382,0.597337,1.173085,0.530082,39.5797,0.838697,0.042814,0.9134,-0.4091
468,1.8720,0.527938,9.4313,0.150901,0.593261,1.173510,0.529043,39.2326,0.848087,0.042919,0.9156,-0.3929
480,1.9200,0.520732,9.3340,0.149344,0.589198,1.174069,0.528151,38.8982,0.857229,0.043030,0.9180,-0.3785
492,1.9680,0.513602,9.2327,0.147724,0.585151,1.174746,0.527391,38.5754,0.866147,0.043147,0.9205,-0.3658
504,2.0160,0.506551,9.1283,0.146053,0.581120,1.175529,0.526747,38.2629,0.874873,0.043270,0.9231,-0.3547
516,2.0640,0.499581,9.0213,0.144341,0.577109,1.176401,0.526202,37.9595,0.883433,0.043398,0.9258,-0.3458
528,2.1120,0.492695,8.9124,0.142599,0.573117,1.177351,0.525746,37.6643,0.891849,0.043530,0.9286,-0.3397
540,2.1600,0.485892,8.8019,0.140831,0.569147,1.178366,0.525371,37.3767,0.900128,0.043666,0.9315,-0.3364
552,2.2080,0.479175,8.6901,0.139041,0.565199,1.179434,0.525074,37.0964,0.908266,0.043806,0.9345,-0.3359
564,2.2560,0.472545,8.5770,0.137232,0.561275,1.180545,0.524854,36.8234,0.916243,0.043949,0.9376,-0.3378
576,2.3040,0.466001,8.4627,0.135403,0.557376,1.181691,0.524716,36.5580,0.924034,0.044097,0.9407,-0.3415
588,2.3520,0.459546,8.3471,0.133554,0.553502,1.182866,0.524663,36.3003,0.931615,0.044249,0.9440,-0.3465
600,2.4000,0.453180,8.2305,0.131688,0.549655,1.184064,0.524696,36.0502,0.938967,0.044405,0.9473,-0.3519
612,2.4480,0.446905,8.1128,0.129805,0.545835,1.185280,0.524816,35.8079,0.946077,0.044565,0.9507,-0.3569
624,2.4960,0.440719,7.9942,0.127907,0.542045,1.186513,0.525024,35.5733,0.952928,0.044729,0.9542,-0.3605
636,2.5440,0.434626,7.8746,0.125994,0.538285,1.187759,0.525324,35.3467,0.959495,0.044898,0.9578,-0.3626
648,2.5920,0.428624,7.7542,0.124067,0.534555,1.189015,0.525722,35.1284,0.965748,0.045072,0.9615,-0.3634
660,2.6400,0.422716,7.6327,0.122124,0.530858,1.190277,0.526222,34.9186,0.971658,0.045250,0.9653,-0.3637
672,2.6880,0.416901,7.5105,0.120168,0.527194,1.191540,0.526825,34.7174,0.977208,0.045433,0.9692,-0.3640
684,2.7360,0.411180,7.3877,0.118204,0.523564,1.192799,0.527528,34.5244,0.982398,0.045620,0.9732,-0.3649
696,2.7840,0.405553,7.2647,0.116235,0.519970,1.194050,0.528325,34.3391,0.987242,0.045812,0.9773,-0.3666
708,2.8320,0.400021,7.1418,0.114269,0.516411,1.195287,0.529204,34.1609,0.991772,0.046008,0.9815,-0.3690
720,2.8800,0.394583,7.0194,0.112311,0.512889,1.196506,0.530156,33.9889,0.996014,0.046207,0.9858,-0.3717
732,2.9280,0.389239,6.8978,0.110365,0.509404,1.197704,0.531175,33.8229,0.999983,0.046410,0.9901,-0.3743
744,2.9760,0.383988,6.7770,0.108432,0.505956,1.198877,0.532261,33.6626,1.003675,0.046615,0.9945,-0.3766
756,3.0240,0.378829,6.6571,0.106513,0.502546,1.200022,0.533414,33.5082,1.007083,0.046824,0.9989,-0.3785
768,3.0720,0.373762,6.5381,0.104610,0.499174,1.201136,0.534633,33.3594,1.010205,0.047035,1.0034,-0.3797
780,3.1200,0.368786,6.4203,0.102724,0.495840,1.202217,0.535915,33.2160,1.013050,0.047250,1.0080,-0.3803
792,3.1680,0.363900,6.3037,0.100859,0.492545,1.203261,0.537252,33.0776,1.015638,0.047467,1.0126,-0.3801
804,3.2160,0.359104,6.1886,0.099018,0.489288,1.204268,0.538638,32.9436,1.017996,0.047686,1.0173,-0.3789
816,3.2640,0.354394,6.0753,0.097204,0.486069,1.205234,0.540065,32.8136,1.020148,0.047907,1.0220,-0.3765
828,3.3120,0.349771,5.9637,0.095419,0.482888,1.206157,0.541526,32.6870,1.022117,0.048129,1.0268,-0.3730
840,3.3600,0.345234,5.8541,0.093666,0.479745,1.207036,0.543014,32.5636,1.023925,0.048353,1.0315,-0.3684
852,3.4080,0.340779,5.7465,0.091945,0.476640,1.207868,0.544525,32.4428,1.025591,0.048578,1.0363,-0.3630
864,3.4560,0.336406,5.6411,0.090258,0.473572,1.208652,0.546053,32.3244,1.027134,0.048803,1.0411,-0.3570
876,3.5040,0.332114,5.5379,0.088606,0.470541,1.209386,0.547592,32.2081,1.028571,0.049029,1.0459,-0.3510
888,3.5520,0.327900,5.4368,0.086989,0.467546,1.210070,0.549140,32.0936,1.029913,0.049255,1.0508,-0.3451
900,3.6000,0.323762,5.3379,0.085407,0.464587,1.210704,0.550696,31.9808,1.031163,0.049482,1.0556,-0.3396
912,3.6480,0.319700,5.2411,0.083858,0.461664,1.211286,0.552261,31.8698,1.032318,0.049709,1.0604,-0.3347
924,3.6960,0.315711,5.1463,0.082342,0.458775,1.211817,0.553835,31.7607,1.033374,0.049936,1.0653,-0.3303
936,3.7440,0.311795,5.0535,0.080856,0.455920,1.212298,0.555421,31.6535,1.034324,0.050164,1.0702,-0.3265
948,3.7920,0.307949,4.9626,0.079401,0.453099,1.212727,0.557021,31.5482,1.035161,0.050392,1.0750,-0.3233
960,3.8400,0.304172,4.8734,0.077975,0.450312,1.213105,0.558634,31.4449,1.035886,0.050621,1.0799,-0.3205
972,3.8880,0.300463,4.7861,0.076578,0.447558,1.213433,0.560259,31.3436,1.036499,0.050850,1.0848,-0.3179
984,3.9360,0.296820,4.7006,0.075209,0.444837,1.213710,0.561897,31.2441,1.037008,0.051080,1.0897,-0.3157
996,3.9840,0.293242,4.6168,0.073869,0.442148,1.213936,0.563544,31.1462,1.037419,0.051310,1.0946,-0.3135
1008,4.0320,0.289728,4.5348,0.072557,0.439491,1.214112,0.565198,31.0499,1.037743,0.051540,1.0995,-0.3114
1020,4.0800,0.286276,4.4546,0.071274,0.436865,1.214239,0.566855,30.9549,1.037993,0.051771,1.1044,-0.3093
1032,4.1280,0.282885,4.3762,0.070020,0.434270,1.214317,0.568513,30.8610,1.038181,0.052001,1.1094,-0.3071
1044,4.1760,0.279554,4.2996,0.068794,0.431705,1.214346,0.570168,30.7680,1.038321,0.052231,1.1143,-0.3049
1056,4.2240,0.276281,4.2248,0.067597,0.429170,1.214329,0.571816,30.6758,1.038427,0.052461,1.1192,-0.3028
1068,4.2720,0.273064,4.1518,0.066429,0.426665,1.214266,0.573453,30.5840,1.038514,0.052690,1.1241,-0.3008
1080,4.3200,0.269903,4.0806,0.065290,0.424188,1.214160,0.575077,30.4926,1.038598,0.052918,1.1289,-0.2992
1092,4.3680,0.266796,4.0112,0.064180,0.421739,1.214011,0.576681,30.4011,1.038696,0.053146,1.1338,-0.2979
1104,4.4160,0.263741,3.9437,0.063098,0.419318,1.213823,0.578262,30.3095,1.038829,0.053372,1.1386,-0.2972
1116,4.4640,0.260738,3.8779,0.062046,0.416924,1.213599,0.579814,30.2172,1.039018,0.053597,1.1434,-0.2971
1128,4.5120,0.257784,3.8140,0.061024,0.414555,1.213343,0.581331,30.1242,1.039287,0.053820,1.1482,-0.2979
1140,4.5600,0.254879,3.7519,0.060031,0.412213,1.213059,0.582808,30.0301,1.039658,0.054041,1.1529,-0.2996
1152,4.6080,0.252021,3.6917,0.059067,0.409895,1.212752,0.584242,29.9347,1.040149,0.054260,1.1576,-0.3021
1164,4.6560,0.249208,3.6332,0.058131,0.407601,1.212427,0.585629,29.8379,1.040774,0.054477,1.1622,-0.3054
1176,4.7040,0.246440,3.5765,0.057223,0.405331,1.212089,0.586968,29.7395,1.041543,0.054692,1.1668,-0.3096
1188,4.7520,0.243714,3.5214,0.056342,0.403083,1.211746,0.588260,29.6397,1.042460,0.054905,1.1713,-0.3144
1200,4.8000,0.241031,3.4679,0.055486,0.400858,1.211401,0.589507,29.5386,1.043522,0.055115,1.1758,-0.3197
1212,4.8480,0.238387,3.4159,0.054654,0.398654,1.211062,0.590712,29.4362,1.044721,0.055324,1.1802,-0.3254
1224,4.8960,0.235783,3.3652,0.053844,0.396471,1.210733,0.591880,29.3329,1.046049,0.055531,1.1847,-0.3314
1236,4.9440,0.233218,3.3159,0.053054,0.394308,1.210419,0.593015,29.2288,1.047490,0.055736,1.1890,-0.3376
1248,4.9920,0.230690,3.2677,0.052283,0.392165,1.210126,0.594125,29.1244,1.049029,0.055941,1.1934,-0.3440
1260,5.0400,0.228199,3.2206,0.051530,0.390041,1.209857,0.595214,29.0198,1.050650,0.056144,1.1977,-0.3506
1272,5.0880,0.225743,3.1745,0.050791,0.387937,1.209615,0.596289,28.9153,1.052334,0.056347,1.2021,-0.3574
1284,5.1360,0.223322,3.1292,0.050068,0.385852,1.209404,0.597355,28.8113,1.054064,0.056549,1.2064,-0.3644
1296,5.1840,0.220936,3.0848,0.049357,0.383785,1.209225,0.598418,28.7080,1.055824,0.056752,1.2107,-0.3716
1308,5.2320,0.218584,3.0411,0.048658,0.381736,1.209081,0.599483,28.6055,1.057596,0.056955,1.2150,-0.3790
1320,5.2800,0.216265,2.9981,0.047970,0.379706,1.208971,0.600553,28.5042,1.059368,0.057158,1.2194,-0.3864
1332,5.3280,0.213979,2.9558,0.047293,0.377693,1.208897,0.601634,28.4041,1.061126,0.057361,1.2237,-0.3939
1344,5.3760,0.211725,2.9141,0.046625,0.375699,1.208858,0.602726,28.3054,1.062861,0.057565,1.2281,-0.4013
1356,5.4240,0.209502,2.8729,0.045967,0.373722,1.208852,0.603833,28.2082,1.064563,0.057771,1.2324,-0.4088
1368,5.4720,0.207312,2.8323,0.045317,0.371763,1.208879,0.604957,28.1126,1.066225,0.057976,1.2368,-0.4164
1380,5.5200,0.205152,2.7923,0.044676,0.369821,1.208935,0.606099,28.0185,1.067839,0.058183,1.2412,-0.4242
1392,5.5680,0.203022,2.7527,0.044044,0.367897,1.209019,0.607259,27.9261,1.069400,0.058391,1.2457,-0.4322
1404,5.6160,0.200923,2.7137,0.043420,0.365990,1.209128,0.608440,27.8354,1.070900,0.058600,1.2501,-0.4404
1416,5.6640,0.198854,2.6752,0.042803,0.364101,1.209259,0.609641,27.7463,1.072335,0.058810,1.2546,-0.4488
1428,5.7120,0.196814,2.6372,0.042195,0.362228,1.209409,0.610864,27.6590,1.073701,0.059021,1.2591,-0.4572
1440,5.7600,0.194803,2.5996,0.041594,0.360373,1.209575,0.612108,27.5734,1.074994,0.059232,1.2636,-0.4654
1452,5.8080,0.192821,2.5626,0.041001,0.358535,1.209755,0.613373,27.4895,1.076211,0.059445,1.2682,-0.4733
1464,5.8560,0.190867,2.5260,0.040416,0.356714,1.209948,0.614660,27.4072,1.077352,0.059660,1.2727,-0.4808
1476,5.9040,0.188941,2.4899,0.039838,0.354909,1.210150,0.615968,27.3266,1.078417,0.059875,1.2773,-0.4877
1488,5.9520,0.187042,2.4543,0.039269,0.353122,1.210360,0.617295,27.2475,1.079408,0.060091,1.2819,-0.4939
1500,6.0000,0.185171,2.4192,0.038707,0.351351,1.210579,0.618640,27.1700,1.080331,0.060307,1.2866,-0.4993
1512,6.0480,0.183326,2.3846,0.038153,0.349596,1.210804,0.620002,27.0938,1.081189,0.060525,1.2912,-0.5039
1524,6.0960,0.181508,2.3505,0.037607,0.347858,1.211035,0.621379,27.0190,1.081989,0.060743,1.2959,-0.5076
