M_infty,alpha,medium,regime,shock_topology,notes
0.5,0.0,water_Tait,no_rotation,no_bow_shock_or_weak,M_rot = alpha * M_infty = 0.00 * 0.50 = 0.00 No rotation; included as baseline. R = P_shock/sigma_cent ≈ 0.0
0.5,0.5,water_Tait,shock_confinement,no_bow_shock_or_weak,M_rot = alpha * M_infty = 0.50 * 0.50 = 0.25 R = P_shock/sigma_cent ≈ 50.0
0.5,1.0,water_Tait,shock_confinement,no_bow_shock_or_weak,M_rot = alpha * M_infty = 1.00 * 0.50 = 0.50 R = P_shock/sigma_cent ≈ 50.0
0.5,1.5,water_Tait,shock_confinement,no_bow_shock_or_weak,M_rot = alpha * M_infty = 1.50 * 0.50 = 0.75 R = P_shock/sigma_cent ≈ 50.0
0.5,2.0,water_Tait,shock_confinement,no_bow_shock_or_weak,M_rot = alpha * M_infty = 2.00 * 0.50 = 1.00 R = P_shock/sigma_cent ≈ 50.0
0.85,0.0,water_Tait,no_rotation,near_transonic_lambda_shock,M_rot = alpha * M_infty = 0.00 * 0.85 = 0.00 No rotation; included as baseline. R = P_shock/sigma_cent ≈ 0.0
0.85,0.5,water_Tait,shock_confinement,near_transonic_lambda_shock,M_rot = alpha * M_infty = 0.50 * 0.85 = 0.42 R = P_shock/sigma_cent ≈ 50.0
0.85,1.0,water_Tait,shock_confinement,near_transonic_lambda_shock,M_rot = alpha * M_infty = 1.00 * 0.85 = 0.85 R = P_shock/sigma_cent ≈ 50.0
0.85,1.5,water_Tait,shock_confinement,near_transonic_lambda_shock,M_rot = alpha * M_infty = 1.50 * 0.85 = 1.27 R = P_shock/sigma_cent ≈ 67.5
0.85,2.0,water_Tait,shock_confinement,near_transonic_lambda_shock,M_rot = alpha * M_infty = 2.00 * 0.85 = 1.70 R = P_shock/sigma_cent ≈ 114.7
1.0,0.0,water_Tait,no_rotation,near_transonic_lambda_shock,M_rot = alpha * M_infty = 0.00 * 1.00 = 0.00 No rotation; included as baseline. R = P_shock/sigma_cent ≈ 0.0
1.0,0.5,water_Tait,shock_confinement,near_transonic_lambda_shock,M_rot = alpha * M_infty = 0.50 * 1.00 = 0.50 R = P_shock/sigma_cent ≈ 50.0
1.0,1.0,water_Tait,shock_confinement,near_transonic_lambda_shock,M_rot = alpha * M_infty = 1.00 * 1.00 = 1.00 R = P_shock/sigma_cent ≈ 50.0
1.0,1.5,water_Tait,shock_confinement,near_transonic_lambda_shock,M_rot = alpha * M_infty = 1.50 * 1.00 = 1.50 R = P_shock/sigma_cent ≈ 97.5
1.0,2.0,water_Tait,shock_confinement,near_transonic_lambda_shock,M_rot = alpha * M_infty = 2.00 * 1.00 = 2.00 R = P_shock/sigma_cent ≈ 131.6
1.5,0.0,water_Tait,no_rotation,detached_bow_shock,M_rot = alpha * M_infty = 0.00 * 1.50 = 0.00 No rotation; included as baseline. R = P_shock/sigma_cent ≈ 0.0
1.5,0.5,water_Tait,shock_confinement,detached_bow_shock,M_rot = alpha * M_infty = 0.50 * 1.50 = 0.75 R = P_shock/sigma_cent ≈ 50.0
1.5,1.0,water_Tait,shock_confinement,detached_bow_shock,M_rot = alpha * M_infty = 1.00 * 1.50 = 1.50 R = P_shock/sigma_cent ≈ 97.5
1.5,1.5,water_Tait,shock_confinement,detached_bow_shock,M_rot = alpha * M_infty = 1.50 * 1.50 = 2.25 R = P_shock/sigma_cent ≈ 140.8
1.5,2.0,water_Tait,shock_confinement,detached_bow_shock,M_rot = alpha * M_infty = 2.00 * 1.50 = 3.00 R = P_shock/sigma_cent ≈ 156.0
2.0,0.0,water_Tait,no_rotation,detached_bow_shock,M_rot = alpha * M_infty = 0.00 * 2.00 = 0.00 No rotation; included as baseline. R = P_shock/sigma_cent ≈ 0.0
2.0,0.5,water_Tait,shock_confinement,detached_bow_shock,M_rot = alpha * M_infty = 0.50 * 2.00 = 1.00 R = P_shock/sigma_cent ≈ 50.0
2.0,1.0,water_Tait,shock_confinement,detached_bow_shock,M_rot = alpha * M_infty = 1.00 * 2.00 = 2.00 R = P_shock/sigma_cent ≈ 131.6
2.0,1.5,water_Tait,shock_confinement,detached_bow_shock,M_rot = alpha * M_infty = 1.50 * 2.00 = 3.00 R = P_shock/sigma_cent ≈ 156.0
2.0,2.0,water_Tait,shock_confinement,detached_bow_shock,M_rot = alpha * M_infty = 2.00 * 2.00 = 4.00 R = P_shock/sigma_cent ≈ 164.5
